,star_point,title,text,Date of experience
0,5.0,Library inside the mall,There is a beautiful and instagrammable library inside the mall. They also provide prayers room for Muslim tourists so no need to worry if you want to do some shopping here., October 2019
1,5.0,Kept stopping by often!,One of my fav places in Gangnam! Be it for some time off to relax in the book heaven or the back to back movies i did with my friend! And the dinners n cafes when there! And ha window shopping too!, December 2019
2,5.0,New Year's Eve at Starfield,It was one of the coldest but most memorable new year's eve countdown parties I ever experienced! The food stalls were up as early as noon and people started coming in early. There were plenty of security personnel around so it felt safe and was not hard to move around. The mall, January 2020
3,2.0,Beautiful Outside - Average Inside.,"I agree with most that the architectural display out side the Starfield COEX Mall is impressive to say the least. But inside? That's another story. Low ceilings, very dole and depressive. We felt as encased for a lack of better words.  It does not represent inside the", January 2020
4,4.0,Holiday,"Chance upon the stacks of books at an underground mall. It was beautiful. Apparently, you can get a book to read or just simply sit around the area. Nice place to visit.", December 2019
5,3.0,It’s a mall 🤷🏻‍♂️,It’s you’re average mall. The library area was kind of cool.. until you realize that many of the “books” are fake and attached to the shelves. Was even more of a bummer when I saw that the “fake” books had duplicates all over the shelves.. They couldn’t even get unique fake, January 2020
6,4.0,Underground mall in Gangnam-gu,"There are many shops, restaurants and so on. It's good to visit during lunchtime if you work nearby. Starfield Library is a free public library. Nice place to chill. Locating in a business area, I think it's not specifically designed to attract foreign tourists. But, we have", January 2020
7,4.0,Myriad of choices of show within the mall,The highlight is off course the multi story public library .  But there are also variety of stores and restaurants., January 2020
8,3.0,Just ok,"I was expecting this mall to be bigger for shopping but it's not that big. I didn't visit the aquarium but I did to to the library which was unique and impressive. The shops weren't anything I haven't seen before in Seoul either. The food trucks at the front had long queues,", December 2019
9,4.0,Worth a Visit!,"This is the largest underground shopping mall in Asia and it does not disappoint.  Of all the shopping malls that I’ve been to in Seoul, this one most resembles those in the States.  If shopping weren’t enough, there is a cinema and conference area.  One of the most unique parts", November 2019
10,5.0,A huge Mall to indulge,My fiance and I were checked in at Intercontinental Grand Parnas and this mall was very convenient for us. From dining to shopping and even visiting the COEX Aquarium. I love being here although prices in stores are quite expensive.   Tourists like me would find this, December 2019
11,4.0,There are alot of things to do in the area for various type of mall goers,There are plenty of food options for foodies.  There is a big library for instagrammies There is atas shopping ( Luxury Shopping) for richies. There are budget friendly stores. There is an aquarium for children too, December 2019
12,3.0,Not bad,"Very wide. Complex structure. But attractive place. There are many restaurants, too. I really liked the library. I think You don't have to visit. But it's not bad", December 2019
13,5.0,Starfield COEX Mall,Plan to spend the entire day (at least) if you want to see the whole place.  Lots of variety in stores and restaurants.  A bit overwhelming and a challenge to navigate due to it's sheer size., December 2019
14,4.0,Modern attractions and a nice temple nearby,"COEX is a big shopping mall and convention center. Famed for being in the Gangnam district made famous by the you-know-what song. COEX isn't the only place to visit and you can visit several attractions like the art hall, SM Town, fountain plaza, duty-free mall, casino,", August 2019
15,4.0,One of the best malls in Seoul,"Starfield at COEX is one of the best malls in Seoul, quite large, lots of choice of shops and restaurants. It is one of two co-joined malls, also with two hotels, movie theater and much more. One can easily spend half a day there. So large that it is at times easy to get lost", April 2019
16,4.0,Instagrammable,"The huge, pile of books but arrange neatly on the second floor which can be seen from the ground floor makes the mall stunning, and instagrammable foto opts!", December 2019
17,5.0,A great shopping mall.,Starfield Coex is a great shopping mall with lots of variety. All available brands are here. Lots of fine restaurants with a food court is also available here., October 2019
18,5.0,Library makes venue a must-visit,"Must the the most tourists-visited library in the world.  A must-see, surely. Not large but the design is unique and visitor friendly.  Rest of mall is quite standard with usual shops.  There is an aquarium too.", November 2019
19,4.0,Beautiful Mall with an  impressive LibraryWe visited Starfield Coex Mall on a Sunday noon in September 2019 .Upon ste,"We visited Starfield Coex Mall on a Sunday noon in September 2019 . Upon stepping into the mall, we were so so impressed by the huge library which is located right in the centre of the mall. There is a mammoth collection of local and foreign books and magazines and the tall huge", November 2019
20,4.0,Fun place to shop with friends and family,"Lots of shops, restaurants and art to see. Easy to get to from train and genuinely just a good time with friends and family. ", September 2019
21,5.0,Special feature:library,"It is not just a Mall and a big shopping center with a huge food court but it also features an architecturally interesting library. With Free entrance, people could just walk in and read books which were just line up on the shelves. There were chairs and tables around the place.", November 2019
22,5.0,World Mall,"This is a world class place with convention center, shops, aquarium, numerous restaurants and an airport check in for many airlines. You can spend hours here. ", October 2019
23,5.0,SM Ent & Starfield library,"if you are a kpop fans especially SM stan this place is a must list to visit because SM COEX ATRIUM will give u an experience to get close to your idol, inside SM there's museum, photobooth, merch shop, cafe or even auditorium.  and Coex Mall is really nice to look around also", July 2019
24,4.0,"Connected, lots of choices and family friendly","The mall is great. Modern, lots of good shops and restaurants. Well connected to the metro and bus stop. The library in the center of the mall is a great place for pictures. There is an aquarium attraction which is great. It is also connected to the Hyudai Department Store,", September 2019
25,5.0,Coex and the amazing library Starfield inside,"Starfield Library is something very special! Thousand of volumes, magazines from all over the world, even magazines for interior designers, gardens, e.tc, from France and Italy, are all in the disposal of the citizens without any discriminations. It is worth it to pay a visit.", August 2019
26,4.0,Nice mall with beautiful library ,Love this mall as it has nice shops with international and Korean brand.  Very crowded on weekend and the beautiful library is also the main attraction. The Hyundai hall is a good place to start to hunt for food. You can easily spend your day here. , August 2019
27,5.0,GIANT LIBRARY!!!,The mall is very huge. The good thing is. I came when Korea Great Sale was happend. and i was really amazed by the giant library!!!!, February 2019
28,4.0,Huge Mall,"We stayed at the Intercontinental COEX which is connected to the COEX mall. Very convenient. The mall is huge and you can find all the usual shops such as H&M, Zara, Uniqlo,....lots of food choices as well. Great food hall where you can get great deals after 7 pm. Definitely a", August 2019
29,4.0,Nice mall,This is more upmarket mall next to SM town and Starfield library. It has lots of different shops - great place to hide away from The summer heat.  It also has restaurants serving different food with a cinema , August 2019
30,5.0,"COEX Mall, everything is here","The best place to meet colleagues in Seoul is COEX Mall, everything is here. We ate in a great restaurant, beauty products were all on sale here, kids had a wonderful time playing, and the big plus is the huge library with books everywhere. I wonder if they had English books", May 2019
31,3.0,Western mall in Asia,"Coex mall is pretty much Korea's version of the mall in the states. Not just western designer such as Zara and H&M, but the layout is not your typical Korean style mall. Building is long instead of tall. I do recommend to come here at least once for the amazing library design.", April 2019
32,5.0,"We stayed here at one of the hotels, which was a great location!","Staying at a hotel at COEX was great- we had lots of food choices, and several things to do on our doorstep.  The COEX library was beautiful by day and night, we bought souvenirs at the aquarium, and even saw K-Pop stars that did an autograph session at the mall one evening. ", July 2019
33,4.0,"COEX Mall, Seoul",COEX Mall seems to be the largest mall in S Korea. It has got everything from what I see  ..... from clothing and accessories stores carrying domestic/international/designer brands .... I like shopping in  Aland. Lots of restaurants and cafes inside this mall so whenever you're, July 2019
34,5.0,Nice fast train,Took the KTX train Seoul to Busan. The train ride was fast but only on few occasions did we touch the 298 km/h mark. But it was nice and thrilling enough , July 2019
35,4.0,Fantastic public library in the middle of the mall where you can read any books of your choice,"Excellent place for many quality stores for clothing, traditional Korean goods, dining, occasional small concerts, art shows, etc. Starfield public library in the center of the mall is a must place to visit.", November 2018
36,4.0,"Huge mall with everything, easy to go Incheon Airport","This shopping mall is huge with a lot of shops, department store, aquarium, duty free, casino, subway station, library, etc. The best is you can check in here for your flight.  Stay near this mall if you need a convenience place for shopping.", April 2019
37,4.0,Loaded Mall,"While the daughters were touring the SM COEXartium to get their fill of SM kpop, we enjoyed wandering through this upscale mall.  Both Korean and International stores were located in this large, modern mall.  Food options were plentiful and many looked trendy and inviting.  A", June 2019
38,4.0,Great for Spontaneous Shopping and Eating Out,"Really good underground mall with numerous shops and eating joints. The shops are mainly of democratic brands like Armani Exchange, Zara, etc. Lotte Duty Free is also there as well as an interesting bookshop and Kakao Friends store. The complex also encompasses an aquarium, a", June 2019
39,4.0,"Go for the library, some stores are fun too","It is huge and it is very very easy to get lost. So honestly check out the library and then some local stores, because otherwise it is a large mall with a pretty good food court.", June 2019
40,5.0,The library area was amazing,"Not all libraries are quiet spaces. In this area there are huge walls of books right in the center of the mall. It makes for a perfect picture opportunity but also an opportunity to read books, socialize, or relax. Attached to the mall are many shops and restaurants and at the", June 2019
41,4.0,Huge underground complex,"The world's largest underground mall contains numerous retailers, as well as the huge Starfield Library. However, if you want to come out into the light of day, be sure to cross the street to explore the Bongeun-sa Buddist temple and enjoy the unique Hyundai Development Company", June 2019
42,5.0,Library at Starfield COEX Mall,"Being tourists in Seoul, we went primarily to see and take photos of the huge library inside the Starfield COEX Mall. And, indeed it was huge, and photo-worthy. The mall is also accessible by subway train. And for these reasons, I give it 5 stars.", June 2019
43,4.0,If you Like Shopping ,"Then this is the place to go. Loads of nice shops, plenty of places to eat and drink plus all kinds of attractions including a library and an aquarium!", May 2019
44,5.0,Great way to spend a rainy Sunday ,"Lots more to do than a typical mall, including a movie theatre, aquarium, library, and every type of food you can imagine.", May 2019
45,5.0,I like the Coex Mall,"I normally frequent several of my favorite stores there.This mall has all of the stores I wanted all in one place.  Daiso, Pierro Shopping (competitors to Daiso), Butter store for specific items I want to buy which we don't have in the U.S. ", April 2019
46,3.0,Nice Place to People Watch,"The library was huge and very nice! But almost all the books are in Korean so unless you know Korean or bring your own book, it’s simply a place to sit, relax, and people watch. There are also cafes and an E-Mart inside the library.", April 2019
47,5.0,My Saturday Mall,"I walk here at least one Saturday each month, to shop at No Brands and The Hyundai stores, eat at one of the many restaurants,  pay my mobile bills at the SK.Premium store, watch a movie at Megabox, have a smoothie from Joe & the Juice and walk around for a while looking for", April 2019
48,4.0,Gangnam Style Sculpture,"COEX mall is an upmarket underground shopping mall. Having been to several shopping malls before in Asia and Europe, the place did not excite us. We did not spend a lot of time here. The main reason we come across this place is because of the Gangnam style sculpture which is", April 2019
49,3.0,Huge mall with plenty of walking space,"We came here to visit the library. A good mix of restaurants, fast food, food court, local and international brands. Love the Copenhagen flying tiger and Butter which offers creative and innovative home decor products. ", April 2019
50,5.0,Shop relaxed,Seoul is famous for its markets but you can have a more relaxed shopping experience in Coex. I'm not much into fashion but I can stay for HOURS in the home section in ALand. It's got a huge collection of items from Flying Tiger Copenhagen which I love because they're fun and, April 2019
51,4.0,Big mall with library ,"If you are into mall tours, this is the perfect place for you.  It also has a library and the Gangnam style statue outside the mall... Nearest subway Samseong station.", February 2019
52,4.0,Great Mall,"Located in the busiest territory of Gangnam district, this mall is huge and there is an enormous library/book store and an aquarium.", January 2019
53,4.0,Big Mall.. has pretty much everything!,We were staying near by and visited the mall frequently for shopping and dining. Great mall. Super clean. Lots to do and see. , November 2018
54,4.0,Beautiful library,"Went to this mall because I wanted to take photos at the library. There are lots of shops here - pharmacies that sell beauty products, my favourite store Aland, Innisfree, bookstore, cafes, aquarium etc.", January 2019
55,3.0,Big underground mall with lots of shops,The underground mall is a great place to go during the winter months. There are plenty of stores to browse. My favorite park is the public library inside!, December 2018
56,3.0,Lots of walking,"Given this mall is spread so wide, it will take much walking to cover the grounds. You will find all your known brands inside. They even have an aquarium but will need entrance fees @ 28k won to enter. Lots of restaurants and cafes as well.", December 2018
57,5.0,Perfect Modern Mall,So if your in Seoul and in the Gangnam gu area this is a mall you should visit. These are my reasons: 1. The mall has very different and unique shops available  2. Neva seen a Library inside a mall and it's so huge and the you won't be disturbed by the sound of the shoppers, November 2018
