,star_point,title,text,Date of experience
0,5.0,Nice Place,A good place to visit if you want to see some nice architecture and there are lots of cafes around the university. , October 2019
1,5.0,Impressive campus with classic and modern architecture,Beautiful university campus with a nice contrast between the classic college architecture of the original building and the very modern cafeteria and library. The surrounding area has some good shopping and coffee/tea shops., November 2019
2,4.0,Tourist shopping spot!!!,, October 2019
3,5.0,Impressive architecture ,Vast university grounds to roam about while admiring the impressive architecture! Many nice photo taking spots around the campus. There’re certain areas out of bound for tourists where classes are conducted - just follow the clear signages around. Definitely worth a visit!, December 2019
4,4.0,Best place to shop,"Ewha Womans University is the best place to shop. The price is much much cheaper than Myeongdong. You can find cute clothes, make up, skin care, cafes, socks, and good food. You can get there by subway and take the Ewha Womans University line. And I really love the style from the student at Ewha", October 2019
5,5.0,Outstanding Architecture,Spent a full afternoon in late Autumn at the University grounds.  Lovely architecture and beautiful college grounds.  The surrounding streets are equally pleasant to walk around., November 2019
6,5.0,Beautiful architecture,"It has a beautiful campus and unusual architecture. This time I visited their museum near the entrance. Many tourists come here to take photos, mostly with the far end (hill-top) as background. It is also breath-taking going up to the far end and then look back towards the city.", October 2019
7,5.0,Big and Nice Uni,, October 2019
8,5.0,Fascinating architecture,Really great architecture. fell upon it by chance as we were walking through Seoul. The buildings and architectural layout were fascinating., October 2019
9,5.0,Great area,"Spectacular architecture and clean, also the surrounding area is great for shopping on a budget. We had some coffee and toffee grapes.", October 2019
10,4.0,Ewha Womans University,"This place is worth to visit. The campus is beautiful and the architecture design is special. Besides, there are many photo spots around here. After that, we went to shop at Ewha shopping street.", September 2019
11,4.0,Nice,"this university is huge and breath taking...education all under one room, they even have a chapel, surrounding area is serene", July 2019
12,4.0,Beautiful campus,"We went to the university expecting seeing a beautiful campus.  We found it worth going.  We visited the University Archives and learnt much about the history of the University and some prominent graduates, this made the visit much more meaningful.", October 2019
13,5.0,Such a beautiful place worth a visit!,This place is so beautiful! The buildings reminded me of Hogwarts in Harry Potter. Instagram worthy!, September 2019
14,5.0,Beautiful Place,"Stairs and more stairs every other part of this beautiful place. Very beautiful buildings and structures around. Cheap, hip and fashionable ladies clothing sold nearby. You will spend..spend..spend if you are not careful..", August 2019
15,5.0,Worth visiting!,Finally had a chance to check out Ewha Woman's University. Worth a visit! Beautiful architecture and yummy food too!, September 2019
16,4.0,Nice place to take photos!,"I came here on Chuseok Holidays so not much people except tourist who busy taking photos on a hot day! We can only hang out at the spots to take photos but how I wish I can go in the school to see the class, student cafe etc. Other than this, just along the Ehwa subway have whole stretch of shops selling clothing, cafes, fast food and mart.", September 2019
17,4.0,Beautiful architecture for amazing pictures!,"Visited the campus for half a day, many good spots for taking photos! Just outside the campus were stretches of shopping streets mainly for cosmetics and stationaries.", September 2019
18,4.0,Place to take picture,"In here usually lots of people take pictures with the interior of this university. However, there are so many stores and restaurant that you can explore nearby the ewha womans university. In the nearby area, they also provide some Halal foods for the muslims. So don't worry", January 2019
19,4.0,Beautiful and vibrant ,The university for women only has a humble beginning. Today it is one of the most beautiful and prestigious university in South Korea. Academically it excel and becomes an icon here. The surrounding area becomes a very vibrant shopping and dining heavens with very affordable price., September 2019
20,5.0,I get why this is so popular,, June 2019
21,5.0,So pretty,"A beautiful university campus with lots of fashion streets around it, can visit if you are interested and walkable to Sichon", July 2019
22,4.0,Unique and iconic building,"It's amazing, a university has turned into a tourist place. The buildings in Ewha are very unique, you won't regret going to this place. After visiting Ewha, you can shop at the nearby shopping area.", June 2019
23,5.0,must go in my opinion,"Must go, to visit the incredible architecture of ewha womans university and to shop - especially if you’re female. The stuff they’re selling are one of the better price points. There are some shops catering to male, or unisex. Many simple fakes (shirt with supreme, patagonia, champion logo) costing KRW 5,000. there are also shops selling food and drinks around", June 2019
24,5.0,Great shopping!,, June 2019
25,5.0,You need only come here to shop in Seoul if you're a girl! ,, June 2019
26,4.0,Popular Shopping Area,, June 2019
27,5.0,Amazing Shopping,The shopping center is amazing. Must visit. Its located in a good location and has good cafes around. The shops are good and inexpensive. Must visit for shopping. They have a lot of shops for clothes and cosmetics, April 2019
28,5.0,Beautiful Campus,My mother in law went to this school so we wanted to check it out.  It's such a beautiful campus.  Shops around there were so much cheaper than most.  My daughter bought some clothes and they were so reasonable., May 2019
29,5.0,Very beautiful landscape. The architecture is awesome.,We went here on an early morning on a holiday because it is walking distance from our guest house. I will definitely go back to this place should I have another chance in the future., May 2019
30,4.0,English Speakers,"When we got off the bus, it was a bit daunting since the campus is so big. We were trying to get to Ehwa's shopping district. However, as we got on campus, there were many English speakers who pointed out the way and we stopped to take pictures of the buildings on campus as well as the walkway. It was a pretty campus.", December 2018
31,5.0,I love to studying here (if I was a student..LoL),, April 2019
32,4.0,Beautiful picturesque place.,, March 2019
33,5.0,Beautiful place for every season,"I came here during winter, autumn and spring. It such a beautiful place to visit during any season. Every place worth to explore and good on picture", March 2019
34,5.0,Very Comfort to walk around the park,There have a garden around the campuss very cozy to walk around and enjoy the cold air on early april 2019.. keep your steps on the walk path.. dont mess it.., April 2019
35,5.0,Instagrammable buildings,A huge university with instagrammable buildings and nearby bargain shops and affordable restaurants nearby., November 2018
36,5.0,Must visit in Seoul,It is a very beautiful campus and it is tourist place. We went on public holiday and we saw so many tourist there. Good for photostop and shopping. There are many cosmetic shops and cheap bags and clothes., December 2018
37,4.0,cheap shopping place,"this place is very beautiful even for tourists who don't like to shop like me, the store is neatly arranged and the lights are beautiful at night, looks like in a movie", January 2019
38,5.0,loved it!,"such a beautiful campus! walking amidst the students really made me want to study here as well, even bought many souvenirs!", December 2018
39,4.0,Interesting place for teenagers,, December 2018
40,4.0,Lovely Environment,, December 2018
41,5.0,Beautiful University in natural beauty place!,"This is an amazing Woman's  University, I don't know actually the internal education system but I can say that the outdoor environment and structure may create good education, motivative along with innovative learning environment.", November 2018
42,4.0,Beautiful & Wonderful Campus,"Ewha is most popular university to visit due to its beautiful architecture. The place is huge and so beautiful during Autumn. Its free to visit, I have visited here twice and both time so amaze with the modern building underground.  The architecture is so lovely. Never seen a university looks like this and never expected its looks like a park and became a tourist attraction as well.", March 2018
43,5.0,Beautiful and unique,"The unique architectural mix of the traditional buildings and the more modern Ewha Campus Complex is what probably draws most tourist to visit this school. Completed with beautiful greenery in its grounds, its a perfect sanctuary in the midst of the bustling city. Albeit, it is steps away from the Ewha shopping district, which is also not to be missed.", February 2018
44,3.0,Nice place to take photo,Suggest to come at night if you want to take nice photo when all the lightings are switch on. There's a shopping street just opposite Ehwa Womans University. Goods sold here tend to be cheaper than what you can find in Meyongdong., November 2018
45,5.0,"Autum foliage, old beautiful brick buildings and modern campus complex in one place","If you are visiting in Autumn and  looking for beautiful foliage near the City center then visit Ehwa Womans University. It has all the colors of Fall, a great history, plus the campus complex that is able to blend the modern architecture with the old brick buildings and the beautifully landscaped gardens.", November 2018
46,5.0,"Spacious, Beautiful Campus Especially in Autumn",, November 2018
47,5.0,Beautiful buildings and people,"It is one of my favorites in Seoul. It has a beautiful campus with historical buildings and innovative architecture.There are tourists all year round. In autumn, the campus is decorated by autumn leaves, whereas in spring it has beautiful cherry blossoms.", November 2018
48,5.0,Nice Scenic Location,Ewha Womans University is a must visit location. The university is very nice and very big campus. This place is rich in history., May 2018
49,5.0,All Womens University!,"Ewha is a university that you can feel you woman side. Lol! I'm just kidding. Kidding aside, the architecture and the place was very unique and tourist friendly.", October 2018
50,5.0,It's so pretty,I wish I could study in this University. The architecture is amazing and there's a lot of place to hangout around the campus and in the campus itself. The scenery is also amazing. Would love to study here if I could. LOL, November 2018
51,4.0,Beautiful architecture & plenty of photo ops!,"Ewha is famous for its beautiful architecture! Gorgeous campus with the autumn leaves surrounding it. Very nice for photo taking. After that, walk around the streets surrounding it for some shopping & eating!", October 2018
52,5.0,Shopping,"Great place to go shopping, the prices are great! I would reccomend going here first befire heading to the other areas.The university is spectacular.", October 2018
53,3.0,Great architecture for photo ops,"The main sight is the steel building, looks very modern and instaworthy. aside from that, the nearby building is colonial style church-like hall. overall, if you like architecture design do visit this university, it's worth the short walk.", October 2018
54,5.0,Good looking University!,"The university has an amazing architecture and landscape. Since this is a university, you will see students going in and out of their classes. Good thing they didn't mind us taking pictures inside the university.  Probably they are already used to tourists and even locals having photoshoots. Overall, enjoyed our visit here.", October 2018
55,4.0,beautiful university,"everytime i went to Seoul, i took a walk into this university, nice and comfortable place, during March and April, cherry blossom inside the university attracted many visitors to take photos", March 2018
56,5.0,Beautifully Old and Modern,The Ewha Woman’s University was a pleasant surprise. It has a nice quiet campus with old European styled buildings next to an architecturally interesting underground building somewhat hidden in the hillside. We spent a pleasant hour or so strolling and taking pictures., September 2018
57,4.0,"It is a university, not a park.","Ewha is one of the oldest universities in Korea. It has a beautiful campus. But remember, this is a university, not a park. Please respect students and keep silent. Avoid taking photos of students. (You can really get in trouble)", October 2018
58,5.0,beautiful university,I read the reviews before going and it did not disappoint. Walking the grounds of this beautiful campus and reading about its amazing history was inspiring., October 2018
59,4.0,Worth a Visit,, September 2018
60,5.0,beautiful campus,, May 2018
61,4.0,Beautiful campus-a must visit for architecture lovers,This place is justifiably popular to visit due to its beautiful architecture. Most people ignore the museum which is small but has a good collection of art and historical artifacts and is free to visit. I have never seen a university that looks like this one., August 2018
62,4.0,Incredible architecture,"You feel like you're in old Europe and a 21st century futuristic location all at the same time. Enjoyable to stroll around, no entry charge. Lots of studently priced shops and eateries nearby", October 2018
63,4.0,Beautiful,We walked around the sculptured park and took many photos.  The park area is very wide and suitable for families., September 2018
64,4.0,Beautiful University,, October 2018
65,5.0,Beautiful University,"I really love the scenery, and the university in korea is open to everyone, ehwa university is known as women university, but what's it special is the building and the scenery itself. it is kind of well-mix between some modern design, and old design. i suggest you while shopping at the nearest street, take a look at the university.", February 2018
66,3.0,Nice view,I think this is great during Autumn bc of the view. Great for walking also because there are also many shop for clothes and shoes., December 2017
67,5.0,More than a university,"what a surprise when we actually see in our own eyes the real magnificent arcitecture, amazing with great histiry... must visit.", August 2018
68,5.0,I love the environment there,"I proudly say that this is the best open university concept among the universities I visited so far. I love how convenient it is for students to buy shoes, apparel even foods. The environment is so warm with great facilities. I am so in love with this university.", September 2018
69,5.0,A beautiful university,The university is surrounded by beautiful garden with a twist of modern and historical buildings. It's nearby the metro station hence I would recommend to visit this place., August 2018
70,4.0,I wish I had the energy to go on top!,"There were a lot of people when I came, students and tourists alike. I wish I went to school here. Looks really nice. The garden is nice as well, but I got really tired going up and going up the stairs to. after a few snaps, I just went around Ewha. But really, it's a nice place. The structure and everything about the school looks rad.", March 2018
71,5.0,Quite a nice stroll during end winter time,This is one of the place that i stumbled upon accidentally. Parts of the school premises are opened to public and it actually pretty romantic place to be with your partner., December 2017
72,4.0,Beautiful,It's architecture is so beautiful and got the somewhat nostalgic atmosphere 10 mins walk to the University you'll find a Line characters toy shop with huuuuge Line bear take a time to drop in during your visit to the University....btw its sometimes very crowded with tourists, October 2017
73,4.0,an university disturbed by visitors,"Its beautiful landscape, scenery and a fashion street (famous of 10,000 won bags and 1,000 won socks) at the entrance attract thousands of visitors.  I agree the students are to some extent, are disturbed by visitors, especially the tourists from all over the world.  I would suggest visitors just touring the outside of the buildings and have a walk around the area near their famous library.", July 2018
74,4.0,Nice architecture,This university campus has become a popular tourist attraction and the university has put up signs warning against nuisance caused by visitors. Some nice buildings are worth seeing especially its sunken library building with steps up to roof top. The campus layout is attractive but not as magnificient as Yonsei University., June 2018
75,5.0,Check out Dominique Perrault's architecture,"I went to visit a few years ago mainly to check out the building designed by Dominique Perrault. The campus is nice to stroll around. There is also a museum which is worth a visit.  The university gift shop stocks up some nice items, in case you are interested. I went this time to get some gifts for a friend/family. There are cheap eats at the food court, and also some nice cafes.  This time, I noticed there is an arthouse cinema too. Well worth a visit if you are in Seoul.", June 2018
76,5.0,Back to School,You can have a lot of beautiful picture surrounding the University.  There are many food stalls and cafes where you can just sit and enjoy a book for whole afternoon!, December 2017
77,5.0,Every lady will love this street,Lovely street for shopping either for clothes or make-up. Ladies must visit this place and you will definitely fall in love with this place. Street food also available along the way and you can fill your tummy while shopping around the street., May 2018
78,5.0,Simply beautiful,"Each time I visited Seoul, my itinerary would include the university as it had a beautiful setting, with youthful students. The campus has beautiful cherry blossoms in late early April and golden Ginkgo leaves in early Oct. As usual there are many tourists particularly in the afternoons.", April 2018
79,4.0,Beautiful!,Very beautiful campus. The scenery and the architecture was wonderful. Beautiful to take several photos., January 2018
80,5.0,Made me want to study again!,"The university was such a nice place. Definitely a must visit! Once your done exploring the uni, you can go out and go shopping! Loved this area!", April 2018
81,5.0,A beautiful place with stunning architecture,"Well worth a walk through the university grounds, looking at the amazing glass and concrete section, with beautiful gardens at the top. Go to the information centre and you get a free talk by a student on the history, which is actually very inspiring.", April 2018
82,3.0,Visit if have spare time,, April 2018
83,3.0,its just an university,, April 2018
84,4.0,Ewha Womans Uni Station,, April 2018
85,4.0,Beautiful Architecture,"It is a famous women's university. The architecture of building is very interesting and  beautiful views. The surrounding area The tree is not only shade, but also a very beautiful. In front of University close to  the shopping street. It is similar to Myeongdong. It is a clothing store, shoes and bags in the alleyways. The clothes are not even a lot but that is cheaper.", March 2018
86,5.0,Great architecture with a variety of shops close by,"EWHA university has a very interesting architectural design, it was done in collaboration with a French Architect which tried to give it a nice elegant and modern finish. The surrounding areas is quite charming, with many small streets and shops where you can get lost in as you explore the city", April 2018
87,5.0,Beautiful grounds,Worth a visit if in the area.  Nice landscaped spaces to walk about with views of the city. There's a visitor's center that can provide information., April 2018
88,3.0,Shopping at Ewha,"After visiting the shopping centres at Dongdaemun, shopping for clothes at Ewha doesn’t have much appeal. Designs are not as good and the prices are much more expensive. There are many restaurants and cafes catered to young people. I found Belif Cosmetics shop there which I didn’t find anywhere else. I bought more stuff from shop carts and the MRT shops near there than any of the regular shops. If you are a bargain shopper for clothes like me Dongdaemun may be more suitable. We didn’t visit the university itself.", April 2018
89,5.0,Beautiful university,I was in awe of this University. It is very pretty and a lot of pictures can be taken. The area around the university is also nice and touristy with all sorts of amenities. It's a must visit if you wanna see some nice architecture (the uni building)., February 2018
90,5.0,Impressive,The university was very huge. Architecture was great as well. Didn't see much on the day of visit as it was too windy., March 2018
91,4.0,Wonderful campus,Beautiful campus with museums and attractions free for visitors. A great place to sightsee and the shopping areas around the campus are very affordable for students as well as travellers on a budget., March 2018
92,4.0,Great place to shop and beautify,"Agreed that it a nice place to shop. However, i particularly like to visit the hair salon here. I find that it is cheaper than those at Hongdae and its much quieter too. Huge campus but too bad my attention was drawn to the many little retail shops rather than the campus itself.", January 2018
93,4.0,Good campus!,Really a huge campus! The view is so great! It feels like you aren't in the campus xD Many tourists come here. Good place!, November 2017
94,5.0,Impressive campus,This is the oldest women's university of Korea. The campus is impressive and the central addmin building is mainly underground done by a French architect. A welcome center gives you the history--founded by Americans. Downside--very hilly., January 2018
95,5.0,Cheap shopping,Plenty of cheap shopping to be done and it was very convenient to come here via metro...It is also safe and opens till late evening., December 2017
96,4.0,Great to shop,"Things cheaper there due to cater for University students, easy to navigate and plenty of shops and restaurants there", December 2017
97,5.0,Wonderful Architecture,The University grounds were very pleasant to stroll about in but we did not venture into the buildings itself as it is a learning institute afterall. We went into the gift shop and browsed around in the shops in the surrounding areas. A pleasant and relaxing way to spend a few hours in this area., December 2017
98,1.0,IT`S NOT FOR TOURISTS!,"This place is a University, not a Zoo or something. You should not go inside, unless you gonna do gentle. Please be quiet and just walk around outside of buildings. That`s all you can do. This place is not a place for tourists.", November 2017
99,4.0,A Hogworts in Seoul,"Great place to take pictures with many Hogworts-esque type buildings dotting the landscape.  Not surprising since the school was founded by Mary Scranton back in 1886.  The shopping streets around the campus offer lots of merchandise, but if you venture inside the campus, you'll find even better bargains because some of the stuff sold outside (like face masks) are actually available at student prices.", December 2017
100,5.0,Lovely area to walk and shop,, November 2017
101,5.0,Good place for photo taking,Beautiful place for photo taking.  A lot of street foods and shopping around.  Must visit this place if you like to take photos., November 2017
102,5.0,Autumn in Seoul,Very nice view... The shopping center near the university is not expensive. The near restaurant served delicious food., November 2017
103,5.0,Architecture at its best,, November 2017
104,5.0,Gorgeous campus!,Visiting this university during autumn can make you decide that it is not a bad idea to pursue your education here because the really beautiful campus is such a conducive place to study! The entire campus can give you such happiness that I can't describe in words. Must visit!, November 2017
105,5.0,Beautiful campus with history and architectural pleasure,"This university is the first women's university established in Korea. When you take a walk around campus you will find a very interesting architecture going underground, but also find old buildings with its own charms as well. Make sure to stop  by their souvenir shop as they have pretty and cute nick nacks that girls and foreigners will like.", April 2017
106,5.0,Beautiful autumn leaves ar Ewha University,, November 2017
107,5.0,Fun place to shop and eat!,, October 2017
108,4.0,We love the shopping atmosphere and small snacks here,Good shopping place. Vibrant and price is lower for clothes compared to other places. Most likely cathered to students. Like the little eating places around where you can get sweet treats. We went on a Sunday afternoon seems abit queit as lots of cafes not open fo biz. Maybe should explore on a weekday instead., October 2017
109,5.0,one of the must visit,Very beautiful and spacious campus. Perfect for photo taking and also a relax walk. Most of the clothing stores at the shopping streets caters to young adults. In my opinion the clothing are cheaper compared to other shopping streets., October 2017
