,star_point,title,text,Date of experience
0,5.0,Authentic local food experience,This traditional market is the best way to know more about the local food culture. The aroma of the korean delicacies surrounds the area where most of the food vendors were concentrated and you will be spoilt for choice at the market. We feel like a local when we sit in front of, January 2020
1,5.0,Netflixfamous streetfood,"Delicious netflixfamous Mungbung pancakes, steamy hot knifecut noodles from the netflixlady, dokkbokki, soondae, soju, streetfood between locals at its top with heatwarming seats", January 2020
2,5.0,An interesting experience,, January 2020
3,5.0,Might be Seoul's Greatest Gem,"A true treasure in Seoul. I miss this place more than anything. The people, be it vendors or those who sit next to you, are incredibly welcoming and friendly. The food is incredible no matter where you go, pick what you like, but also take the advice of the friendly vendors beckoning you to their booths. Love this place dearly and you will too.", December 2019
4,5.0,Street food not to be missed,, January 2020
5,3.0,Worth the visit(but be prepared for the push and shove)!!,"Lots of stalls selling common street food. Extremely crowded and be prepared for lots of shoving and pushing. Found a stall selling fish shape pancake or waffles. The couple manning the stall were very organised and thoughtful. Their pancakes had only three types of fillings - red bean, custard or pizza. Tried all three and would personally recommend the custard filling. They were very generous with the filings.", January 2020
6,4.0,Busy market with lots of things to sell!,"From Dongdaemun subway station, it was approx.15-min walk to market.  We went on Jan.1, and the market was busy, packed with people.  There were some stalls closed, but many were still open.  Market has lots of food options, and things to buy, so you can spend hours there!", January 2020
7,5.0,Worth a visit!,A local market where you can find many authentic Korean food and shops selling souvenirs and snacks. Price are affordable. Sellers are friendly. Love it!, November 2019
8,4.0,Quintessential Seoul experience they say ,We went on New Year’s Day so only the food stalls and a few snack and clothing stalls were open. The oil stench was strong from all the mug bean pancakes and there are dozens of stalls selling pretty much the same thing but we were too I adventurous to sit down especially when we have just had lunch an hour before that. The last thing you want is to horde a couple of seats and not consume enough., January 2020
9,5.0,Loved it!!,"Great place to have lunch. If you want to try transitional cuisine, that’s the place. There are plenty options in a super affordable price. Loved it, specially the dumplings!!!!", December 2019
10,4.0,Street food at the market,"The street food at this market is amazing, weather was cold when we were there but still great to eat at one of the street stalls, seats were heated, so many different stalls with so many different street foods, tourists everywhere taking photos, this is a great stop for tourists and locals a like.", December 2019
11,4.0,Various Korean street food with good price.,, November 2019
12,5.0,Typical Korean market ,, November 2019
13,5.0,Come here more than once ,"I think it is the beat food market in South Korea!!! So much great food you need to try, I would recommend coming here more than one so you can try everything", November 2019
14,5.0,Traditional food street for authentic Korean foods,"If you want taste authentic Korean foods as locals eat, you must go to Kwangjang Market. No where can beat this place for its variety and price. I ate there siting on narrow bench in very crowded center aisle. It was quite an experience. Fried sweet rice pancakes are very good. If you see many local people waiting in line for some food, just try it too. You have to visit this place when you are in Seoul because it is very difficult for  tourist to find those traditional Korean food else where in the city.", October 2019
15,5.0,Cool Place,This is a very cool place to visit. Lots of different things to see. I recommend it! Just walking around is neat, January 2019
16,3.0,You can find any kind of Korean food here,"I love this place because there are a lot of Korean food here. I ate bibimbap and teokbokki, but the taste was not really good. Somehow I still love the place because you can feel the traditional of Korea and how the local interact with each other.", October 2019
17,4.0,Great experience even if you don't eat there,"Kwangjang market is a really good cultural experience of Seoul - it's busy and noisy and a bit smelly sometimes and the food looks like nothing you would ever see in Europe! It's a great place to wander round even if you aren't brave enough to eat there - and yes, you can see the lady from the Netflix series...", September 2019
18,5.0,Good traditional food,This market isn’t as busy as Namdaemun market but is fully enclosed. The stalls are pretty repetitive but variety of food is still good nonetheless., November 2018
19,4.0,Crowded but good,The market was an interesting experience to see and try out the korean street food! It is a bit crowded especially around lunch and dinner time but I think it’s worth visiting. Make sure to try the food there!!, October 2019
20,3.0,An average market,, October 2019
21,5.0,Extraordinary food & culture explosion ,, October 2019
22,5.0,Mostly food,Whole long stretch of street food where u find live squid as well. Egg pan cake is a little bit oily but is very delicious. This place is very special where u can order food and sit in front of the small stall to eat. Price is reasonable. Next to the main food street there are some stalls selling cloths and sports stuff., October 2019
23,5.0,Best Korean food experience,, September 2019
24,5.0,A great way to experience Korean culture,We visited by subway station Jongno 5-ga.It is 50 metres from the station.There are lots of food stalls selling multiple local dishes.We chose a family run fish restaurant that was popular with local people.We had kimchi chilli and cabbage starters and spicy pollock roe stew which blew our heads off much to the amusement of the Koreans.We communicated in sign language.Luckily they sold cold beers.A great experience., August 2019
25,4.0,Lots of “street food” options,"Was initially a bit confused and intimidated by the setup but eventually found it be a very way to discover new food.  Not sure who is buying the clothes on sale but the food stalls definitely attract lots of customers.  Just need the guts to sit down at one of the places and give the offerings a try.  Seems to be segmented a bit by seafood, noodles, etc.  Ended up having delicious food for very little money.  Food stalls were closing up fast at 3PM when we were there so get there early enough to have options.", September 2019
26,5.0,Love it!,"We went there as part of our ""explore Seoul"" trip and it was worth it! The atmosphere and energy were unmatched. The ox head meat made it worth the hassle!", October 2019
27,4.0,Good for one visit only?,, September 2019
28,4.0,Night tour,"One of our stops on the night tour was the Gwangjang Market where some of my family members were brave enough to try eating live octopus. I was not even brave enough to sit at the same table with them. I did try their famous pancakes from one of their vegetarian stalls and was mildly impressed. The best find for me in this market was their donuts. The line was long but moved fast. They could not make them fast enough. My family went back for seconds. If you are ever in this market go for the freshly made donuts (its soaped long instead of round), the taste is worth every calorie. You can watch it being made as well. Priced moderately.", September 2019
29,4.0,Busy food stall market & other stalls,Easy to find from subway exit 9. This market is busy with food stalls & lots of variety. An excellent way to try a little of different korean foods. Other stalls for a whole range of products & goods. Various lanes of stalls spread out so you come back to a central point then take the next avenue., September 2019
30,5.0,A taste of Real Korea ,"We watched  Netflix show about street food of Seoul and it was a must do and see for us when we visited Seoul last week.  We managed to find the stall from the show which makes the famous mung bean pancakes 🥞. The market was so big and it felt like it wasn’t ending.  You can find anything there: food, clothes, fabric, sea food ... it’s definitely a must visit in Seoul as you will experience a real Korean culture.", September 2019
31,5.0,Korean street food classics,"The Kwangjang (sometimes spelled Gwangjang) market is a real foodie heaven. Many resources on the internet say it closes at 6PM and this may be true for many of the shops, however the food scene seems to be going strong at least until 10:00 PM. Here you will find many street food classics such as mung bean pancakes, Korean blood sausage, dumplings, steak tartare, fresh octopus and many others. All menus are in English, I don’t see why you would book a tour to come here to eat - read up on the Korean street food dishes and venture out on your own - I met several nice Koreans as I was hoping from stall to stall who was very friendly and wanted to share their food culture and their Soju with a total stranger. Geonbae!", September 2019
32,4.0,Kalguksu and mung bean pancakes!,"Came here for the knife cut noodles and mung bean pancakes. Loads of shops selling hanboks, traditional decorations and snacks.", September 2019
33,4.0,"The ""Soul of Seoul""",, August 2019
34,5.0,Just as good on a second visit,Street food in abundance. Live fish for sale and local delicacies (unidentifiable to me). Sitting at a stall or one of the rooms is probably better than getting a take-away as the 'to go' option involves a lot of plastic and polystyrene packaging., August 2019
35,4.0,interesting place to visit,worth a visit to check out the food. didn’t spend that much time here but my favourite stall was the kalguksu (knife-cut wheat flour noodles in soup) and mandu (dumplings) stall made famous by the netflix street food show (happy to report that it is worth the hype and the possible wait for seats as it’s now a hot spot for foreigners thanks to the show). it’s also a good place to shop for fabrics if that’s what you’re looking for!, September 2019
36,4.0,Food you should try,This market is more about food than other stuff. You can try a lot of diffrent food. If you are around you should try to eat there!, October 2018
37,4.0,Korean markets,Big markets. Lots and lots of stalls. Dry goods. Cooked food. Textiles. Linen. Toys. Souvenirs. Korean craft.  Good to explore especially during rainy day since it is covered. The textile sections on ground and upper floor is enough to make you lost. All good price. Don’t miss out the food stores. We had the noodle and dumpling at one of the Netflix street food featured stores. Not disappointed., August 2019
38,5.0,Fantastic market. ,Went specifically because I watched on Netflix. Found the noodles and dumpling stall and the crab stall. Both amazing. Really good food from wonderful hardworking people., August 2019
39,5.0,Delicious,"Fantastic market with heaps of small street food stalls. Pretty big area covering the block, heaps of stalls to walk around and can sit down to each at eat. Heaps of variety, catering for truly Korean food. Very tasty and fresh.", August 2019
40,4.0,Great market,"Gwangjang market is a traditional Korean / Asian market. Lots of stalls selling all kinds of edible products, some raw some cooked. A great Street food location or buying some fresh fruit.", July 2019
41,4.0,Lots to eat,"You are spoilt for choice in the market for eateries. The centre food court has many small stalls that offer pancakes, noodles, rice rolls, live octopus, and more pancakes and more noodles. You can also purchase fresh vegetables, seafood and other raw food for your own cooking as it is a market. Another interesting thing to buy is cloth. Rolls and rolls of colourful and beautiful cloth are for sale here with many shops owners trying to make a living.", July 2019
42,5.0,Must visit for an authentic and cheap Korean meal,"Gwangjang market is the place  to see the locals do their daily marketing.  Besides the usual tteokbokki ( spicy ricecakes), you should try the fried  mungbean pancakes, served with a delicious soy sauce onion dip. This market caters to the locals, so it is as authentic an experience watching Korean people buy and sell. A food paradise for people who love to eat or cook.", November 2018
43,5.0,Shopping and eating and clean bathrooms!,"Lots of great shopping and a huge center food court. Great fun, clean, reasonable prices. Loved the clean bathrooms.", June 2019
44,5.0,Amazing!!!!,"What a colourful and sense evoking experience with so many things to eat, smell, see and be a part of! A fabulous market. The kimchi dumplings and mung bean pancakes were amazing! Some good options if you are vegetarian.", August 2019
45,5.0,I had a blast ,"This place is a must see to in my book. I had a Seoul Korean native who lived in the States for 25 years give me a tour after moving back to Seoul for the past 11 years. Took me places that tourist would NEVER see and many Koreans don’t even know about it. This was one of his stops and gave me the history of the Market and how it grew and expended over decades. This is the largest traditional Korean markets and is known for food, silk and anything you want to find. You can also book a tour through TripAdvisor", July 2019
46,1.0,very disappointed,"Went with my brother to have a good experience as seen online. One of the food stall owners was very pushy and persuaded us to sit down after saying she'd give us ""service"" (free food). We ate some and asked if we could take the rest of the food away as we wanted to leave quickly, still thinking it was ""service"". Also important to note I spoke Korean though I'm not 100% fluent. I was quite naive, and at this point she added more food that we didn't ask for. I then asked how much this would all be(as it was a lot for free food) and she told me it was 16,000won. I then felt pressured into paying because she purposefully gave us a lot of food without asking. The stall owner was very old and our Korean wasn't good enough to argue with her. My brother was also feeling sick. At the time, there were a lot of people as well as the weather being very rainy and humid, so we just wanted to get away as soon as possible. Make sure to be very firm with what exactly you want to eat and always ask straightaway as to how much the food will be or make sure that the food is still ""service"" if offered.", July 2019
47,4.0,Great Market Place to experience local culture ,, July 2019
48,5.0,The best food,, June 2019
49,4.0,Traditional market,, June 2019
