,star_point,title,text,Date of experience
0,4.0,Namsan Tower,"I went to Namsan on my first day at Seoul. I went there at golden hour to catch winter sun set. Seeing Seoul from top, bathed in golden sun rays, it was really worthy went all the way to Namsan Tower against breezing wind winter. A cup of hot chocolate was enough to keep me warm", January 2020
1,5.0,N Tower,"If your in Seoul you should visit the N Tower. The view is very fantastic,  you can see the city lights on the top, its nice to visit during evening.  They also have restaurant there in case your hungry and you want to enjoy the view while eating.", April 2019
2,4.0,Fantastic View of the City,"The N Seoul Tower is relatively easy to get to by train/bus. You can take a special bus to the top of the hill or you can hike it up the hill which is a very good workout. Go to the tower in the evening as the view of the city is fantastic. There is also a couple of gift shops to purchase your souvenirs. A must see while in Seoul. Take the tram ride up to the elevator, at the base of the tower, if you’re not up to the hike.", February 2020
3,4.0,Wonderful views,, January 2020
4,4.0,Amazing view at night,"The day we arrived in Seoul, after putting our luggage at the hotel, we straight away took a bus to Namsan Tower. I booked the ticket using Klook and scanned the ticket at the entrance. The view at night is amazing you can see the whole area. If you have strong legs, you can walk up the hill.", October 2019
5,4.0,Nice Scenic View,"Located in a relatively central location in Seoul,no direct metro but can easily navigate your way there by alighting at Dongguk University stn, exit 6 n go to bus stop near Uni bridge. Take bus 2 n 4 to reach. Tower located at Namsan Mountain whereby one can take many nice photos. Tower visit itself is rather optional as the mountain already provide a fantastic view of the city. Defo worth a visit.", February 2020
6,4.0,"Big hike, great views","I purchased the Skip the Line ticket, but for the time I actually went (during the day, middle of the week, January), I didn't need it (however, it seems like from other reviews, you may still want to consider it). I took the Hop On Hop Off Bus - Palace Route to get to the tower. It's still quite a hike up the hill, but the sun was out and the views of Seoul were really incredible. I feel very lucky that the weather cooperated and while there was some glare through the windows and a bit of haze, I think my photos came out okay and I had a good time just walking around the floor, looking at different points around the city. There is helpful signage with the distance of different cities from Seoul. There is a small gift shop where you can buy postcards and even mail them. There is a sit down restaurant, but I believe you need to have reservations. Once you get out of the tower, there are other restaurants and souvenir shops. I wish I would have taken the cable car, that sounds like it was fun.", January 2020
7,5.0,Another tallest tower done..yay!,I sure am a sucker for towers and tall buildings I donno why and Nseoul tower was one of the best..121 floors high I guess and the glass bottom and all the photo ops..we all had a good time!, December 2019
8,4.0,Good,We visited it during weekday to avoid the long line of the cable car. We skipped the ticket line by purchasing it thru Klook. The view is much nicer in autumn., October 2019
9,4.0,Pretty nice ,"Its a pretty nice place, I enjoyed the hike up to the tower, got some great pictures. Not really worth the money to go all the way up to the tower tho.", February 2020
10,4.0,"Beautiful View, thats all",, December 2019
11,5.0,K drama feels,Super awesome place! I really love everything from here . Would like to go back again here! Super worth it, January 2020
12,4.0,The nice view when weather is nice,"We had 1 day in Korea, so we decided to go despite the weather.  It was a lot of people, local and foreigners. We can only imagine how spectacular it would be on clear day", January 2020
13,5.0,Worth the cost of admission!,, January 2020
14,5.0,Beautiful views with a Romantic feel,"Located on Namsan mountain in central Seoul, it's easy to get to. Just after dusk provides breathtaking views. You need to take the cable car up the plaza area. Here you will find lots of attraction like the ""love locks"" something similar to Paris, wishing pond, various observatory decks, food court, museum's and the entrance to the observatory tower itself which boasts of panoramic views of the city of Seoul. One of Seoul's must visit attractions.", December 2019
15,5.0,Amazing,"Namsan Tower is known for many things: the cable car ride, the nice trekking at Namsan Park, the great aerial view of the city, museums and café.  At a height of almost 240m, the tower has an onservatory deck that offers an amazing view of the city. The iconic letter “N” was the result of the remodeling of the tower in 2005. Since then, the place is known as N Seoul Tower, with beautiful bright lights at night.", January 2020
16,5.0,New year's Eve,My family and I vacationed in Seoul for New year's Eve. We stayed at the millenium Hilton in front of Seoul station. we didn't know what to do for New year's Eve countdown. So we decided to climb the mountain directly in front of the millenium Hilton. At The summit is Seoul tower. From which you can see the New year's Eve fireworks from down below. The temperature was about minus 8 degrees Celsius. We bundled up around 11 p.m. and started up. The hike was very lovely. As you hike up you can see a beautiful a 360 view of the city of Seoul at night. It's not a hard hike. And there are art installations along the way. Including a strange love heart lock it installation. Apparently you can buy love heart lockets and write a message and lock it around these fences and other art installations along the mountain. At the top of the mountain there are cafes and gift shops. You can purchase tickets to go in to Seoul tower. We did not do that. Instead We got some hot chocolate and coffees and celebrated 2020 watching the fireworks from down below. The fireworks were very small from our vantage point and not that impressive. but overall it was a beautiful hike and an absolutely fantastic way to ring in the New year. It started to snow along the way as well but that made it all the more romantic and special. My teenage daughter took many pictures. We walked around with our hot drinks looked around the gift shops and then made our way back down as we started to feel the chill. I highly recommend this hike. I could not have imagined a better New year's Eve . It was perfect, January 2020
17,5.0,Worth the trip!,"What a gorgeous view of Seoul at night! When we got on the bus to go to the tower, I didn’t realize that it was at the top of a hill/mountain so I was surprised that we didn’t just walk, but I was thankful as we made our way up the windy roads that walking wasn’t happening! It was definitely worth the trip and I loved the whole experience. Would definitely do it again next time I come to Seoul, but maybe during the day next time!", January 2020
18,4.0,Awesome view!,"The prices for the ticket were a bit expensive, considering the surrounding attractions are significantly cheaper. We enjoyed the view though, and the many opportunities to grab a souvenir. Would definitely come back during a different season to see how the view would look during spring or summer.", January 2020
19,5.0,Xmas vacay,"It was really an amazing view at night.  Although it was -1°c, but it was nice to see.  The place had recreation for the young ones & had alot of food plc too.", December 2019
20,4.0,great views,"great views at the city from above, but was a bit hard to walk up closer to the tower, the views outside were actually more picture worthy. Loved sweet post card mailing service- the best souvenir ever- sent a card from atop of the tower to my family across the world. Liked walking around different lower levels, lots of cool statues and giftshops, food places etc.", September 2019
21,4.0,Landmark In Seoul,It was opened to the public in 1980 and provided TV and radio broadcasting in Korea and also used for tourist purposes and on a nice day you get great views from the observation tower. Located on Namsan Mountain it stands 480 meters above sea level and visible from most parts of Seoul., November 2019
22,4.0,Great views - make sure you pick a clear day!,"We went up the tower the day after it rained, which meant the air was clear and we had absolutely stunning views all the way round, especially over far into the mountains to the north. I imagine that had we gone later in the week when the smog started to creep back in, the views could have been quite disappointing. It was also reasonably priced and the gift shop actually had some good quality items, which was a nice surprise! I have knocked a star off as the little cable car that takes you to the base of the tower from the bottom of the hill was not working on the day we went and we had to take the stairs - not an issue for us, but if you have mobility problems, you would have been stuck!", May 2019
23,4.0,Good view of Seoul at night,"There is LED tunnel, Love Lock area, and also the observatory deck. It is best to go with lover. Easy to go there by bus or cable car.", January 2020
24,5.0,"Its romantic walk,","beautiful and clean inside and out. Alot of history is shown throughout the area of the tower.The ride in the elevator was beautiful , look up when you get inside the elevator", May 2019
25,4.0,Great Views,Well worth a trip up to the N Seoul Tower. Great views on the cable car up to the tower and from the tower itself, November 2019
26,3.0,Make sure you have a nice day ,The tower is interesting but probably not worth visiting unless you have a nice clear day.  It was dull the day we went and you couldn’t see much., November 2019
27,5.0,Seoul Tower,highly recommend to take this trip during night hours so you can actually see the city lit up. I would highly recommend spend the extra money to skip the line do to how busy it is. You can purchase locks there for $10 to place wherever you would like. If you go while it’s cooler outside dress warm it does get cold up there., January 2020
28,5.0,Nice tower ,"Nice view , around the City. Local Customs is the attractive part of the place. Don’t forget for 💓 key 🔐", January 2020
29,4.0,Visit around the tower,"Climbing the little mountain where the tower of Seoul is located, nearby the right heart of the city. Enjoy the 360° view. Amazing!", December 2019
30,4.0,Typical tower with really cool toilets,, December 2019
31,5.0,Best View of Seoul,"If in Seoul for a short period of time and not sure what to see definitely make your way to N. Seoul Tower.  From Myeong-dong, walk to the cable car and ride up from there. The views from the top are amazing.", November 2019
32,4.0,Breathtaking view,"Its quite a ride to get to the tower but the stunning view, the adjoining Hello Kitty museum and Ryan's Cheezball Adventure is worth the effort. The all around view from the tower also tells you in which direction your country is from that spot and the distance too. It was an evening beautifully spent.", December 2019
33,5.0,Enjoyable,, December 2019
34,5.0,Brights lights observatory,Visited the observatory by cable car. The cable car is a short walk from myeongdong train station. The cable car brings you to the walkway of locks where one can continue to the tower. At night one can see the bright lights of Seoul as well as the numerous vehicles coming in and out. There are some retail and ding establishments at the retail area of the tower., December 2019
35,4.0,A Towering View of the City,, December 2019
36,4.0,See the city from up,"The tower is a place to observe the city. You can choose to go up by walking the park, take a cable car or by bus. The canke car will cost you about 7000₩ one way or about 10000₩ return.", December 2019
37,4.0,Great place would of been better on a clear day.,, December 2019
38,3.0,It’s a nice tower,"Probably outshined by Lotte Tower which of course is bigger and badder but the wait times and surrounding area at N Tower are much better. There is good food, a bar, lovelocks and a trippy colors room before you enter the tower elevator.", January 2020
39,3.0,Good,I didn't go to the actual tower but rode up to it and put a lock on the lock wall. If you can bring your own definetly do as they are overprised - and don't forget a pen as they have none for you to use - only to buy. The view was pleasant and the price was fine., August 2019
40,2.0,Mind the weather,"If you are planning to go to the observatory, mind the weather conditions as they do not have any notice about the visibility. They did not offer to give a refund or to make it valid for another day. Very disappointed", December 2019
41,5.0,Amazing Seoul ,"Amazing view from the TOP after we trekked 1.5km up . There a love locks area up the mountain . Sky tower are awesome , we got to view beautiful Seoul because the sky was cleared .", December 2019
42,4.0,Outstanding views - go at night,Overall excellent experience. Don’t try to drive there unless you know the way. Navi apps don’t quite work. The taxi took us on our second attempt. Long walk up to the tower but there is a gondola option. Lots of food and souvenir shopping options up there. We waited 40 minutes for our queue to go on up. It was t quite and large as I though once up there but the views were amazing. Go at night for the best experience. A lot of others scenic spots on the ground and trail., December 2019
43,5.0,Beautiful Night Scene for Kdrama Fans,"If you are a fan of Kdrama, the night scene at N Seoul Tower definitely did not disappoint. The cable car ride was pleasant and orderly.  There are multiple inexpensive dining options by the tower. The public space to view the night scene at the foot of the tower was huge so even on crowded days, it did not feel claustrophobic. It was a pleasant place to spend a nice evening.", December 2019
44,4.0,Short review on Seoul N Tower,A quintessential tourist stop in the outskirts of Seoul. We did not go up the tower. Just hung around the base area and took in the scenic beauty. There are locks for sale for the lovebirds to place on the fences. A lovely view of the city from the top of the hill., December 2019
45,5.0,Awesome burger!,Decided to pop in to ya e a burger... woo no regret. The burgers are juicy and Smokey. We had both Classic and a Tower burgers as well as the potato croquettes. No regret!, December 2019
46,5.0,Winter visit,"Went during the day and Took a long walk up from Myeongdong, tiring as it's up slope. Ideal to walk from Shinsegae department store and take the slanted elevator up to the cable care point. View is wonderful from the top and super cold during winter. Some restaurant and shops, best for scenery viewing. So many love locks around.", December 2019
47,3.0,Travel by public transport,Going by public transport with old folks is not convenience as you have to walk up the hill to reach the Namsam cable car centre., December 2019
48,4.0,Seoul searching,"This place have a nice bird-eye view of seoul. You can still see them without going up to the main tower. There is a place for the 'locks' where friends, lovers and family expressed themselves by placing a padlocks, phone covers there. Take care because the slope is quite steep getting up. Basically its good for photo taking.", December 2019
49,4.0,360 view of Seoul,, December 2019
50,5.0,Beautiful View of the City,This is where you can find the famous Love Locks in Seoul. Offers a beautiful view of the city during the day & a magical view at night., November 2019
51,5.0,A Lovely walk in Autumn and experience the colours of dusk in N Seoul Tower,"Wonderful, Romantic and Memorable that's what we've experience visiting N Seoul Tower or Namsan Seoul Tower. In the chilly dusk of November in Seoul, we went here via Bus #3 in Chungmuro station exit 4. The ride took about 30 mins because it's the rush hour and many stops so if you would like a faster way to get here can take the Namsan Cable car or taxi or you could hike to the tower itself. Takes around 1,100 won one way and it is the last stop in its route. There are many tourists in the entrance and buses both public and tour buses and parked there so it tends to get busy. Indeed, it is one of the most visited attractions in Seoul. Standing high at 774 ft it is an observation and communications tower and the second highest in Seoul. It is my second time to visit this place but this time during the day. My first time in 2016 it was at night and we went on top of the observation deck inside the tower overlooking Seoul from Namsan Mountain where its located right at the heart of Seoul. The ticket costs around 11,000 KRW. This time around 2019 we didn't go inside but we visited the base of the tower which surrounded by the beautiful Namsan park and its wide array of trees that include Maple, Pine, Ginko, Cherry blossoms and many more. Since its fall the colors are full of Red, Yellow, Orange, White and Brown truly mesmerizing, eye catching, romantic and beautiful. We took a lot fo beautiful photos and videos before these blooming trees in the colours of Autumn. Up here you will have a panoramic view of Seoul - its skyscrapers, buildings, castles, villages and rivers. It is indeed a magical view for us. You don't even need to go up the observation deck. Another great feature we did is the Lock Padlocks where tourists and local couples put their padlocks as a key of their endearing love for each other. You could write your names and buy the key/padlock from the minimart inside N Seoul Tower. We indeed put our padlock in the midst of thousands of locks placed in this mountain. The Lock Padlocks also offer a great panoramic view of Seoul, the Tower and Namsan Park. We left just before night falls via bus and it was a short yet memorable visit for us. It is indeed of the best and beautiful destinations in Seoul so please do come visit when you arrive here in Seoul, Korea.", November 2019
52,4.0,Absolutely must visit,, August 2019
53,5.0,Who doesn't like being on top of the world?,"Set on a small mountain in the middle of Seoul, the tower has views that show the tourist just how big Seoul is, with satellite towns stretching aolong every valley from the cental mass of the city. The lift to the top is quite special. Walk up the mountan if you are able.", November 2019
54,5.0,Nice place to see the city from the top.,A great experience to visit N Seoul Tower. It's almost like KL tower of Malaysia. Nice surrounding embeince. To reach there the cable car ride was great., October 2019
