,star_point,title,text,Date of experience
0,3.0,Huge mall,The mall is connected to the metro station so it's quite convenient to reach. We went on the new year eve for the countdown fireworks but it was smaller scale and not as amazing as compared to the one in 2019. Seems to have a great mix of shopping and food options would consider, January 2020
1,5.0,Great Shopping Mall,This 7 story shopping mall has great restaurants and activities including a large movie theater with a 4D screen., July 2019
2,4.0,"Nice building, but its a building","I went into this shopping mall and its nice and expensive, there are some nice restaurants below.I went to the very top and the views are very nice although for me somehow it was a little confusing to get done and the staff kept pointing me in the wrong level, so I am writing this and not from the top of the tower so obviously made it done.", January 2020
3,3.0,Only go if you are planning on spending big money,"We visited the Lotte Tower as it was not far from The Westin where we were staying. There was a constant stream of people going in and out so we were intrigued. The entire place is full of designer shops, as well as the surrounding area. We compared prices and they were similar to what you would pay in Australia. Overall it was a bit of a letdown but interesting to see. Not a great selection for Men.", January 2020
4,3.0,personally overpriced,"for not being the tallest in the world & still having infrastructural issues during its construction; not even guaranteeing the view that would compensate for most of the price, i'd say this thing is overrated; even when you get to the top, some of the things are extra.. . ""buyer-beware""..", May 2019
5,3.0,The ventilation needs improvement,The night view was average. There were probably too many people.It was like queuing for an amusement ride. Went through two rooms before getting on the elevator. Bring a paper fan with you. There were two small balconies for viewing outdoor. The logistics needs improvement - people going in and put were mixed together in a small glass room., January 2020
6,5.0,I love this place!,"What an amazing experience and we had so much fun! The food, the stalls and the view, all perfect! You will find almost anything and everything there", November 2019
7,4.0,Nice place,"I enjoyed this park even though I went on a day when a tropical storm was passing through. The entertainment was good, the food reasonable. Some rides had some really long lines like The French Revolution (3 hours cue). Some rides I could not ride because of the restraints being to small for my large frame. but most I could ride.", October 2019
8,3.0,A great view on a clear day ,"I enjoyed the view of Seoul, but given the sometimes foggy/smoggy local air you need to pick a good day to visit.I was struck by how similar the observation decks of really tall buildings are.  If you have been to the Empire State Building or Sears tower then your experience will be very similar here, but it will be a different view.", January 2020
9,3.0,Needs to be managed better,"Incredible views, no doubt. However, zero information about the building. A 2 hour wait in a boiling, non air conditioned room will suck the excitement out of the activity. Nothing to do upstairs and the terrace is totally closed off so it’s not any more interesting than looking from the window.", December 2019
10,2.0,Mickey Mouse attraction,"Very disappointing. More like a children’s amusement park than a serious attraction. No interesting information about the buildings construction or engineering just toys, sweet shops and cartoon photos for the kids who were far too young to appreciate the wonders of such a magnificent building. The management should go to Taipei 101 or Petronas Towers to see how it should be done.", December 2019
11,5.0,Amazing is an understatement,The Lotte World Tower is an astounding architectural achievement! Standing on a glass floor at 119 stories above the ground is scary as heck! It was incredible looking down on 30 story buildings that looked like toys. We were there on a clear day and the views stretched off forever. The elevator ride from ground to 119 in just under 60 seconds was pretty incredible. The tickets are not cheap but worth the price in my opinion!, December 2019
12,3.0,Best View,"Took the world’s first 60secs to level 118! The feeling was well, nothing much. Just abit if ears stuck. The technology in the lift is also awesome. Super high up the tower, could see the overall of Seoul. It’s beautiful", December 2019
