,star_point,title,text,Date of experience
0,3.0,nothing special,just a tall building in a residential area. not worth visiting in itself. the restaurants and attractions are mostly intended for families in the area., February 2020
1,4.0,City Views,"Had lunch on 59th floor, outstanding views of the the city. Enjoyable buffet lunch well presented, professional staff.", October 2019
2,3.0,Great Views,"Stopped by here as it was along my travel plans for the day.  The building is striking from the outside and in... a little pricy for the overall experience.  The exterior elevators are quite thrilling for one with a great respect for heights.  It was a bit of a challenge to find the actual entrance to the building/activities and it was quite crowded on the weekend I visited.  As mentioned, it was along the travel route I had planned for the day and thought it would be nice to visit the Art Gallery (happened be to the show ""With My Friends"" geared toward children and how children interact with their environment - actually quite charming).  Not sure that I would go back unless there were a particular event to attend or art show to see.  City views are available in other locations...", April 2019
3,3.0,Just a tall building,"I don't know what I was expecting but this was just another modern building. The area is great though, so if you are in a position like me where you're travel buddy wants to visit, you can combine it with a nice walk by the river :)", August 2018
4,3.0,63 City,, July 2019
5,4.0,Worth a visit for the view,, March 2019
6,4.0,63 CITY= 100 SCORE,"63 building in the highest building in my country, so people want to visit there, and after they visited, they always shocked because of the hight of the building. It was awesome!", September 2018
7,4.0,Worth the views,"It overlooks the Hangang river and as the name suggests, it has 63 floors - and is the tallest and most recognisable building in Korea. It is not just a tall building and houses attractions such as Seaworld and an observatory on the 60th floor.", August 2018
8,5.0,Great view on the top.,, May 2018
9,5.0,Beautiful scene,The night view at here is quite great. it is a wonderful experience stay in 63 tower for 1~2 hour. Very convenient to visit there by taking the subway or bus. You can go there at night when after dinner., February 2018
10,4.0,Worth one time visit,I visited twice. The view from the top is great. You can see Namsan Tower in the distance and the new Lotte Tower. That helps you realize how big Seoul is. Huge. It's an iconic building in Seoul so one should visit while in Seoul., July 2017
11,3.0,for a rainy day,"I didn't now what to expect. There are not so much inside to do. We've been there on a rainy day. The galleria was closed. We visited the aquarium aqua planet which is nice and artifully displayed but it is more for small children. The aquarium is relatively small. Shops were not very interesting. At sunset, the 63 building is shimmering with the sun (this was not at this rainy day). So it is better to see it from outside.", July 2016
12,5.0,Great view of the city,Seoul is a huge city and this building allows for a great view of it along the river. This is well worth a visit., April 2017
13,3.0,Tall building,, October 2016
14,4.0,The tallest building in Korea,"This is a very popular atraction in Seoul. It has an elevator which takes you to the roof, where there is an observatory. The city view from there is wonderful. At the ground floor there are many restaurants with good options of different kind of food.", February 2017
15,3.0,Nothing special,Nothing really special at 63 City. There is a Duty Free Shop there where tourists were brought there by tourist buses., February 2017
16,5.0,Awesome View!,"We went up to the top of the 63 building only to find buildings, buildings, and more buildings. There were so much condominiums and it was a bit hazy due to the smog but it was a really awesome view. There is a small coffee shop so you can rest a bit. There is also a small gift shop to buy little gifts.", June 2016
17,5.0,63,"Amazing view from the top. Restaurants, acuariums, museums and shopping are available inside the building.", September 2016
18,2.0,Not much to do.,"Saw 63 City from a lot of Korean shows so I came here after a walk at Yeouido Hangang Park. Besides from the tall design of the building, there is not a lot to do. There is an aquarium and an art museum inside. Tickets are quite expensive and its crowded with tourists, especially tourists from China. Seriously don't recommend people to come.", August 2016
19,3.0,Only outside,, July 2016
20,4.0,Amazing 63 building city,, May 2016
21,1.0,Absolute waste of time,Everything is closed down. Waste of time. Going to other places of attraction would be more worthwhile, June 2016
22,4.0,Nice view from here,, June 2016
23,5.0,Nice n clean,"I ve stayed in south korea fir two years, i learned korean a bit ,and there was my best period of life. People are so friendly and kind .a very fast growing nation.clean cities and minds. The culture has a big backgroud. I would looove to visit again", July 2015
24,4.0,Fantastic 63building,, December 2015
25,5.0,Amazing Views,"Amazing views from the 63 Building.  Parking was plentiful, people were friendly, lots to see and do but the main attraction is the views from the top, well worth the stay for the sunset and city lights illumination.", August 2015
26,4.0,Cityscape of Seoul,"I always have a soft spot for observation decks and 63 Building's was no exception. Admission was ₩13,000 and it is best to go up in the evening and on a clear day the views will be magnificent. The glass elevator was fun to be in, even though it only lasts for a minute or so.", April 2016
27,3.0,A decently tall building.,, January 2016
28,3.0,Nice view of Seoul,"I took some friends here who were visiting Seoul for the first time back in January during my extended stay in Seoul. Because the 63 Building/Hanhwa building was featured in a lot of Korean dramas/shows, they had wanted to visit, but I wasn't too impressed. You do get a nice view of Seoul (some of my friends told us after that we should have gone at night, but I'm not sure about the hours or the discrepancy in price), but I just don't think it was worth the admission fee.", January 2016
29,5.0,Popular places to enjoy a magnificent view of Seoul City,, May 2015
30,5.0,Who doesn't love views?!,"After walking the River, I saw this building and remembered it from many Korean variety shows I had watched in the past. They offer a foreigner discount which was a pleasant surprise. There was no wait, which was even better. Once we got to the top, it offered great views. No complaints on my end.", September 2015
31,4.0,A great view of Seoul,"As great as the view from N Seoul Tower may be, what you really want to do it view Seoul from the observation floor in 63 Building. The N Seoul Tower provides a great focal point in the city skyline which makes for a better view and better pictures.", January 2015
32,4.0,A wonderful view of Seoul,"Stunning view of the city. It was a nice afternoon spent visiting attractions and browsing the other shops. Eric Kayser bakery is excellent, I particularly liked the green tea cakes.", May 2015
33,4.0,Best view of all of Seoul,, September 2015
34,4.0,"A must-see, but price conscious visitors might take a pass.","The building itself is now fairly old, over 30 years, but it hasn't really aged at old, thanks to its cladding that make it look like it's a gold lingot (especially when the sun in low in the sky). Even more so than for foreigners, it is a veritable symbol of Korea, as one Asia's tallest building, and defined Korea as a rapidly emerging country. The attractions Inside are various (art gallery with observatory, wax museum, aquarium, shopping mall). Apart from the observation deck, the other attractions are ""only"" decent, and there are better wax museums in Northern Seoul - Grévin, better malls in many places -IFC mall also in Yeouido, Times Square...- and better aquarium at COEX or at the Lotte World Tower. So the main reason to visit would be going all the wait up to get a great view, and also enjoy a nice art collection. The view is indeed really nice, and without a doubt the best spot for a panoramic view of the Han river. However, it does come in pricey (20 000 KRW I believe), which might not warrant the price for some people. If you want to come up an equally expensive tower, Namsan Tower might be a bit more iconic, and climbing some mountains in Seoul (Inwangsan, Bugaksan, Gwanaksan, Guryongsan, Namsan) might give you an almost as beautiful spectacle as well, but for free.", October 2014
35,3.0,A normal visit,"I was excited to visit this place when I reached Korea, since a lot of hype from friends of mine, when i got there, this place was just average but since there is a wax museum there and I never went to any Wax museum before, I tot i should give it a bit of points. Other than that, this place is just ok to me.", October 2014
36,4.0,63 Building,, April 2015
37,3.0,"Multi attraction building, great views.","This is confusing, so stick with me on this.  The 63 Building also called 63 City is really the Hanhwa Building.  There are no flashing lights advertising 63 Building, so do not look for it.  You will see Hanhwa Building at the top so head in that direction.  You will not see anything referring to ""63"" until you are right in front of the building.  You can take line 1, 5 or 9.  I took line 5, purple line since I was in the Jongno/Insadong area.  I got off at Yeouinaru station, walked for 30 minutes along the waterfront park.  Only after reaching the building and picking up a brochure, did I realize there is a free shuttle from the subway stop.  This is not stated in the guide book.  So, my pain is your gain.  Get off at this same station, take exit 4 and there should be a shuttle stop there.  Line 1, dark blue, get off at Daebang station, exit 6.  This building has an observatory deck which is also an art gallery, Sea World Aquarium, Wax Museum, and IMAX Theater.  I really only wanted the observatory, which was 12,000 won.  Go in main entrance, take a sharp left and walk all the way to the ticket counter.  The views are spectacular, and me and my friend were the only 2 people there and then an Asian family of 4 joined us.  We were the only people there, so I do not think it is that popular, but if you like a non busy uncluttered space you will like it here.  The main floor has many restaurants and coffee shops.  If your time is limited, I personally like N Seoul Tower better.  See my review about it.", June 2015
38,3.0,Nice view,"My wife cousin treated us to a day here, nice little tour great view and the Buffett was super food from everywhere.", March 2014
39,4.0,The best!,We had walked more that 20mins getting to 63 Building from the Daebang Station. Missed our chance to enjoy the IMEX Theatre however the Skydeck is absolutely magnificient. The view of the city and Hangang River at night is simply magnificient., October 2014
40,4.0,Great view - Fish Market is close,"Enjoyed taking in the view up top at 63 City - the art gallery was also a nice touch while seeing the city landscape.  The Fish Market is close, but not walkable - you'll need to take a cab to get there and across the highway.", February 2014
41,4.0,"Art Gallery, 60th floor.","There's not enough information in English, so it may be complicated for those who can't speak basic Korean. I thought we would be able to go to the 63th floor, but apparently we can only reach the 60th one. The view at night is nice, but the internal illumination interferes with the photos so maybe it would be better to visit in the afternoon.", August 2014
42,3.0,Korean Holiday,It was ok but not too impressive.  We went to the sky art gallery that gave access to there observatory.  I wasn't very impressed with the art gallery but the view of Seoul from the bldg observation was impressive. Not bad for $12 per person., August 2014
43,4.0,The View,Going there was accidental. After the river cruise we walked because we couldnt get a taxi. We could see it right away from afar. Decided to go up and have dinner in a japanese restaurant on the top floor. We didnt regret that we went up cause the view was great. We could see the lights around the city. Its the view that sold us out., November 2013
44,3.0,"Multi-attraction destination, good for kids","Only because we are renting an apartment in Yeouido did we decide to walk to 63 Building. We purchased a 'big 3' ticket which for us included the observation deck, aquarium and IMAX (show on king penguins). Purchase your tickets by Visa and you get an extra 40% off the rate (70000 v 42000won for two adults). Observation deck OK with the art display - views would be much better on clear days; IMAX was good but the headset for translation into English did not work (but easy to follow anyway); and the aquarium was unworthy and in desperate need of updates to their animal enclosures.  There are regular shuttle buses but we decided to walk the 10 minutes to Yeouinaru station.", August 2014
45,2.0,Skip everything except the art museum.,, January 2014
46,4.0,Awesome view--skip the aquarium.,, May 2014
47,3.0,Best visited during sunset,"The building appears to be golden in colour at afternoon till the sunset.  Not very far from the building there is a recreational area or garden of some sort where a lot of people (family, friends and couple) do actually just relax and play something. From the garden, you can approach the building you will pass by a bridge and will need to cross the road. There are a lot of things inside the building (wax museum and stuff) bit we did not go to any of those.", July 2013
48,3.0,Symbol of Yeuido,"Once the tallest building in Asia, it offers a lot of things to do, aquarium, wax museum, IMAX theater and observation hall at the top. They offer discount if we purchase at least 2 attractions. Beautiful scenery of Hangang Park can be seen from the top and Seoul generally as well. But its aquarium is quite disappointing, not worth money spent.", April 2014
49,4.0,Good place to watch the sunset and get a birds eye view of Seoul,, May 2014
50,3.0,Expensive but many things to do.,"There is an aquarium, wax museum and observation tower (with art gallery) in this building. It is pretty expensive as far as things go in Seoul and we found other areas were better than this one. The COEX aquarium was more extensive and the views from N. Seoul Tower were much better. If you are in the area it isn't a terrible idea to go but I wouldn't go out of my way to visit as there are other places with better suited to your needs.", May 2013
51,5.0,Multi purpose attraction,"They have the observation deck, wax museum, art museum, aquarium and seasonal attraction for kids there. There is a small, pricey shopping area and nice food court. Mainly, the view from the building and nearby park is why I went. There is a free shuttle to the building from nearby stations for free.", October 2013
52,4.0,Pretty cool views,"Went to the top since it was on my bucket list and supposedly one of the top landmarks of Seoul. Really useful shuttle bus service going to and from there (via different tube stations), which was free! Loved the views from the top, was really amazing and kind of worth the 10,000 KRW to get up. Queues weren't long, and there were some great art exhibitions going on to.", October 2013
53,5.0,Very nice tower with decent activities,"This tower should be preferred to the N tower. While it is not as high, the top floor is much quitter and also propose some nice modern art exhibition. The other activities proposed in the tower (aquarium, wax museum) is nice specially for families and is the weather is not that great.", October 2013
54,5.0,Spectacular view of Seoul from the top,"Spectacular visit of Seoul from the observation deck. This is one of the towers from which to witness that skyscraper view of the city. The building contains other attractions as well including an aquarium, shopping, and fine dining.", November 2012
55,4.0,Great place to get a city view,"I only went here to get up to the observation level on the top floor and it's well worth it - I was fortunate it was a bright, clear day so the views along the river and over the city were very good and you get a good appreciation of the layout of Seoul and the observation deck was well maintained and the windows clear.  The art exhibition that's also up there seems a bit of an afterthought.  I got there at 10am on a sunday morning and had the place to myself with no queues to buy tickets or travel up in the lift.  It's not the easiest place to get to via the underground - about a 15 min walk from the nearest station.", September 2013
56,3.0,Nothing except a brilliant city view.,, August 2013
57,3.0,One of the highlights of Seoul,"63 City Seoul is one of the places were you can have a complete view of the city. When in the top floor, the funny activity is finding the distance from Seoul to several cities in the world, such as NY or London.", September 2012
58,1.0,Terrible place,"In this building many excursions. But the queues waiting for them long. People are waiting for two or three hours to get only to the Aquarium. We bought a ticket to the observation deck 11000 KRW. Standing 40 minutes in the queue, to rise to the top. And then forty minutes waiting to come down. Spend time waiting in the queue is awful.", August 2013
59,3.0,Worth a visit if you are new to Seoul,, August 2012
60,4.0,If you like tall buildings...,"You may go there if you want to view all Seoul from height. There are also aquarium, cinema, wax museum in 63 city. But if you travelled much and saw many attractions all over the world 63 city will not be impressed you very much.", February 2013
61,5.0,Beautiful!,, February 2013
62,4.0,Fun City,, November 2012
63,3.0,Went to the Wax Museum and did the aquarium a few years back.,It's worth visiting if you really don't have much planned for the day in Seoul.  Lots of coffee shops and a restaurant on one of the top floors., November 2012
64,4.0,GREAT VIEW,"There is an art gallery in the last story of the bulding (63, thats where the name comes from). Fair paintings, that are outshine by the best view of the han river, preferably at night, Be aware that there is a 20USD$ charge fir using the elevator.", December 2012
65,4.0,Elegant Skyscraper in Southern Seoul,, March 2012
