,star_point,title,text,Date of experience
0,5.0,Super cute shop and cafe,The shop is very cute with lots of variety and the Pink Pool Cafe on the top floor is amazing! The decor is very fun and has lots of cool photo opportunities. I had an iced green tea and caramel croissant and both were delicious!, January 2020
1,4.0,"Cute pink , popular tourist spot .","Pink concept building with fashion shops . Level 1 is the popular makeup store , mostly crowded.  Lot people here just to take pictures instead of shopping . ", December 2019
2,3.0,worth a visit if you like pink,"This place if for those who love makeup and everything pink. It has 5 floors i think, the first one had tons of makeup, other floors had clothes, a laundry shop and a cafe. It was cute, but not a must visit.", June 2019
3,4.0,Fun concept store,"It is a rather famous flagship store in the middle of Myeongdong, where you are overwhelmed with pink, clothes and 3CE make up. I suggest going when it opens to avoid a very busy store and also take your time at the Instagram worthy spots.", June 2019
4,5.0,~ For those who really loves Pink ~,로시아 친구랑 핑크풀가페 추천했다 같이 가고 사진 많이 찍었다  위치가 살짝 구석임.  디저트다 맛있고 잘생긴직원도 친절했다  추천~  Cute spot. I recommend if you’re fan of pink color. Otherwise your eyes will be not so happy over there.  My Russian friend took pictures every minute when she didn’t eat beautiful and delicious, April 2019
5,5.0,Pink Fun,"I just visited Stylenanda over the weekend and had so much fun!  What is this place? It’s a makeup and fashion 6 floor store with hotel themed concept. This pink facade is so much more! It’s always an adventure being here, and it’s always hard for me to resist leaving without", May 2019
6,3.0,Nice shop and pretty layout,"Shop is pretty , and sells all stylenada stuff. Nice place for photo spot. Alot nice corners... but items are expensive so didnt buy anything there ", September 2018
7,5.0,Awesome Pink,went straight up to the cafe where they serves fanciful drinks with candy floss! Great to have candy floss that wont melt during the winter. Great texture. Drinks was ok. Due to the snow the outdoor sitting area was closed. We had to stay indoor. However staff attitude needs to, December 2018
8,3.0,Went to the one in Myeongdong,"Went to the one in Myeongdong, it was super crowded on the ground floor, but it was actually quite empty on the other floors (which sells the same cosmetics). Top floor was the rooftop area, not exactly clean, the pink and white pillows were kinda turning grey and no one was", September 2018
9,5.0,LOVE THE PINKY SUMMER VIBES!,"I went to this cafe accidentally since I was looking for makeup stuffs on the lower floor. Didn’t expect to be so “hotel-look” and “fancy”, I totally feel satisfied with the photos and moment I got there. Come at summer will be a lot better! There is also pool inside that you", August 2018
10,1.0,Left the store with bad feelings. Cute interior doesn’t help,"We are very looking forward to visiting their shop since we are a big fan from Thailand. The store is very cute, well decorated with vintage pink hotel atmosphere. Sadly we got a bad service from the staff both at Stylenanda fashion and 3ce counter. The 3ce cashier put all the", August 2018
11,4.0,"Very cute Interior, lovely cafe!","Centrally located in Myeongdong, this building features the beauty make up brand 3CE, a cafe at the top floor and each level is fitted with a different style of interior design, but around the main theme of a Hotel. It is a very interesting interior space and is worth a visit!", June 2018
12,4.0,Cute cafe to take a rest after shopping all day,"I guess it is trending in Seoul now, that street shop makeup brands create a cafe inside their store. It's a nice idea to take a break from shopping all day, and also most of them are really really cute. As a girl, I cannot not take picture :p  This particular cafe has the", May 2018
13,5.0,Loved it,"I went for the interior and make up. The place is so cute I could die! Ordered the coffee, didn’t expect it to be good cause the place is too cute, surprisingly it was good! And huge! Have to go for ladies.", April 2018
14,4.0,Pinkish Girly place ,"We came here to use the toilet at the 5th floor , took the elevator up , there's a cafe on the 5th floor , and a rooftop but it was closed on the day I visit . We walked all the way down , clothes and cosmetics to buy , ground floor was full of people . Pinkish in design , girly", March 2018
15,3.0,Great for IG,"This place was really aesthetic and girly. It's great for Instagram pictures! That's about it.   The staff, however, were a little hostile. They seem quite impatient and they glared at customers who didn't buy anything. Can't really blame them, to be honest, they're dealing with", November 2017
16,5.0,AMAZING!!,"I just loved stylenanda, it is quite expensive but it is worth a visit if you like pink :) The location is in myeongdong, there are many other stores you can visit close to stylenanda.  There are 4 floors and each floor is decorated differently. I also recommend you to order the", August 2017
17,4.0,One stop concept for shopping and coffee,"Never miss out this millennial pink store when you are around Myeongdong. Each level has their own unique concept (e.g., selling makeups and clothes). Do check out their pink pool cafe (and their rooftop) for insta-worthy photos!", September 2017
18,5.0,一定要潮聖吧！,愛3ce stylenanda或粉紅色的你一定要來這間pink hotel 潮聖！內裡好很多影相位，頂樓更有泳池裝修的cafe可以飲杯飲料再影相買野，天台還有outdoors 粉紅色主題讓你hea , August 2017
19,4.0,Enjoy taking photos while shopping!,"Visited the shop with the main purpose of topping up on m makeup, but also to check out the interior after seeing so many photos. The shop had a lot of spots for phototaking, perfect for your instagram shots. The makeup/clothes were also well spread out, so it didn't feel too", July 2017
20,5.0,Unique design store,"This store is so unique, the hotel theme store located at myeong-dong. It is very tricky to find but you will find it eventually when you strolling around myeong-dong. I made a vblog during my trip to Korea, come and check it out. I cover this stylenanda as well  Search by", June 2017
21,5.0,Wonderful place,Stylenanda Pink Hotel Flagship Store 💕💕 Really really good place for lady~~ Must go there.. Recommend!!, March 2017
22,4.0,"Pink, my new Black","Love this boutique shop that has very creatively designed each floor in a hotel concept, from lobby entrance, room floors, washroom, laundry, swimming pool cafe, & on the rooftop an open air area where you can sit and take pictures.  Their merchandise ranging from cosmetics,", April 2017
23,5.0,Great place for fashion,I've been wanting to go to this store since I would them more than five years ago and I wants disappointed at all. They are a bit more expensive compared to street vendors but the quality is way better. Have a look around- you won't be disappointed!, April 2017
24,4.0,Pink Everything!,Cool place to take photos with girlfriends. There is a outdoor rooftop that is probably great to chill at during the summer but since we were there when it was -7C we only spent a minute there. Top floor cafe offers colored cotton candy drinks that were fun to drink with, January 2017
25,5.0,Very interesting concept and worth the visit for the fashion Trendy,Heard about this place from my colleagues as well as from tourists whom recorded their visit on YouTube. I decided to check it out since I love the pink set up with the hanging  metal frame bed. The pink  pool at the roof top also attract my attention.  You will notice this, December 2016
