,star_point,title,text,helpful,contributions,Date of experience,reviewer_address
0,3.0,Meh,It has a lot of information but it is kind of boring. The audio guides didn't work properly and there are no numbers to indicate what you are seeing. So you are stuck walking around looking at dioramas and reading texts. The kids were engaged for the first 15 minutes then lost,47,101, January 2020,Pasig
1,4.0,"Good museum, wish there was more from the past 80 years","I visited this museum with my wife, who grew up in Seoul, and my teenage daughters. The main museum is a large but manageable single floor. The museum is worth a 1 to 2 hour visit.  Seoul's history spans centuries so it is hard to cover everything. It includes how Seoul became",279,306, December 2019,"New York City, New York"
2,4.0,Good small museum ,I thought this was great.  It is filed with interesting and very detailed models of Seoul throughout its history.  It is also free and has great English explanations of almost every item.  ,14,124, January 2020,"Singapore, Singapore"
3,5.0,Excellent!,"Recently updated and free.  600 years of Seoul, very well divided into sections. Everything was helpfully in English with very well done brochures/guides for each section. We visited on a wet day - but spent much longer than intended. Definitely worth the visit.",62,199, September 2019,"Ayr, United Kingdom"
4,5.0,A truly excellent museum,"Only had an hour and a half as we had bought tickets to a film showing across the street. This is a truly excellent museum, built intelligently with fascinating exhibits.  The time spent was not nearly enough and I intend to return with more time to spend.  I very highly",281,542, October 2019,"Ramat Gan, Israel"
5,4.0,Informative,"Very informative museum and has nice exhibitions. I recommend a visit here, it won't take too long, exhibition is quite compact.",7,58, March 2019,"Riihimaki, Finland"
6,5.0,Familiarity with the history of Seoul.,"A lot of photos, documentary exhibits. A large layout of modern Seoul, you can find your home. Children really like it!",11,37, July 2019,"Khabarovsk, Russia"
7,5.0,Great find..,Great way to spend a couple of hours on a hot afternoon. Free as well and very easy to get to. It is a shame half of it was closed for renovation when we were there.,27,40, July 2019,"New York City, New York"
8,4.0,Visit when it's Lunar Celebration!,"It's free!  I visited this Museum when it was China New Year or Lunar New Year for Korean. They have a festival, many food stalls, and some traditional dance show (we can dance together and take pictures with the dancers after their routine finished).  If you want to know the",1,9, June 2018,"Bandung, Indonesia"
9,5.0,Wonderful little museum,"We stumbled across this museum and were glad we did!  It's a delightful museum that shows the pride the residents of Seoul have in their city and its history.  On one of the upper floors, there's a huge miniature layout of the city.  You can stand above it or off to the side to",19,56, April 2019,"Seattle, Washington"
10,4.0,Worth a visit,I found this museum more interesting than the Korean War Museum or the National Museum. I particularly liked the section on the reconstruction of the city after 1953 and its development over the following frenetic decades.,409,376, April 2019,"Canberra, Australia"
11,4.0,Educational,"A great place to learn about history of Korea. The layout of museum is very well organized. However, staff need to be more conversant in English.",46,175, January 2019,"Cherating, Malaysia"
12,5.0,Free and good quality museum,Good exhibits about the history of Seoul. It is free unlike museums in Europe and they dont pressure you to make a donation. Worth a visit to understand more about Seoul. Spent about 2 hours here. Well worth the time.,159,199, July 2018,"Melbourne, Australia"
13,5.0,"Great Museum, Must see!","The three floors museum represent The Joseon dynasty, it is very interesting for the new visitor to Korea. The museum is free and can be combined with a visit to the Palace. ",62,712, October 2018,"Scotch Plains, New Jersey"
14,5.0,Under the radar museum with plenty of surprises,If you have time do visit this very interesting museum that showcases the six centuries of Seoul’s storied past.  From its early founding as a strategic capital for the unified Korean kingdom because of the fengshui and laid out in Confucian principles it grew to become a walled,91,264, October 2018,"Singapore, Singapore"
15,5.0,My favorite museum in Seoul,"This is a fun museum and I have been here several times. For a first-time visitor, plan on at least 2-3 hours to visit. My favorite part was recent history from the 1920's to the 1990's. There is even a model of a 1980's apartment to show you how an average family lived then.",130,730, August 2018,"Manchester, New Hampshire"
16,5.0,Great little museum,"Great place to learn about Korea over the years.  Nice historical exhibits and costumes.   It was interesting to see the 60s, 70s and 80s also represented.  Takes a couple of hours to walk around.  Definitely worth a visit.",65,362, September 2017,"Manchester, United Kingdom"
17,4.0,A Quick Lesson Of Korean History,"It was raining hard that day, so we decided to take a museum tour and visited many museums, this was our favorite, due to limited time we only spend about 45 minutes, the collections was very well display, from yesteryear long ago and far away, next time when we come, probably",209,545, June 2018,"Hong Kong, China"
18,4.0,Place to relax for citizens,"This is a fine museum with free entrance. Also, a place to get refreshed with fountains, garden and other facilities. There's an outdoor terrace connected to the backyard. It's a good place to rest when you're exhausted after seeing things around.",547,"5,724", June 2018,"Seoul, South Korea"
