,star_point,title,text,Date of experience
0,3.0,Nothing much there for tourists to see,"This park is large and is right next to the Hangang River. Easily accessible by subway (Ttukseom station, then walk through the tunnel). More for the locals than for tourists. It has bicycle tracks, duck boats and various other facilities.", October 2019
1,5.0,Ramyeon!,Came here for the ramyeon experience and stayed here for the view. There apparently tons of activities that you can do here. Easy to reach from Line 7 of Ttukseom Resort Station and exit 2/3., May 2019
2,4.0,One of the most famous Hangang Riverside Parks,"This is a very nice riverside park in Gwangjin-gu District. It has an outdoor swimming pool, duck boats, water skiiing, inchworm tunnel, etc. Good to visit and relax.  - Accessible from Metro #7 Ttukseom Yuwonji. And it's about 15 min walk from Metro #2 #7 Geondae(Geonguk", June 2019
3,4.0,Nice for winter sledding,"We went there with 2 kids aged 6 and 10. During winter, the park offers a sled activity for 6000 krw/person. There are 2 slopes and an area to play on the snow. We had a good moment.", February 2019
4,5.0,A break from the rush,"A must if you're in Seoul! Especially if it's hot outside, the Han river is really cooling and beautiful during a hot summer day. It's hard to understand a place like this can exist in the busy town of Seoul. You can have a relaxing picnic while admiring the town on the other", July 2018
5,5.0,Different atmosphere,During summer it would be mch better (According to locals) where you could have fun there are events for drinking as well (mainly in summer)., November 2018
6,5.0,"ttukseom resort, good for summer","ttukseom resort has more than 3 wonderful swimming pools. Children can enjoy 2 of the swimming pools. The entrance fee for adult is just 5,000 won (Around 5 US dollars).   Water is warm during hot summer.", August 2017
7,3.0,Snow Tubing Experience.,We didn't get the chance to ski when we went to Alpensia Resort in Pyeongchang so we looked for a resort in Seoul where we could experience snow tubing or sledding. And luckily we found Ttukseom Hangang Park & Resort. We arrived early and the place was practically empty. Even, February 2017
8,5.0,Ttukseom,"Perfect place for couples. Right by the river, nice view of the city, the towers and the people. Spring time gets a lot of people around here", May 2016
9,5.0,Peaceful and Relaxing Park,My friend and I love to come to this park for cycling and picnic. The area is really peaceful and less crowded compared to other parks and there's also nice cycling track along the river which is really awesome.  Park is very easy to reach by train as the station connects, May 2016
10,4.0,Great place to relax,"This park has many things to offer. You can play basketball, go water skiing, have a picnic, or just enjoy the scenery. You can get a nice view of the 63 Building to the west, a view of the new Lotte World Tower building to the east, and a view of Jamsil Stadium across the", July 2015
