,star_point,title,text,Date of experience
0,3.0,"park is ok, yeoido is lame",yeoido is not worth visiting just for the park. it's a boring area with lame boring families who think they are elite but are just upper middle class. some have lived there for 3 generations how pathetic. no pretty girls or cool ppl., February 2020
1,5.0,Lovely park to chill,"Visited in spring and trees were very beautiful. There were many locals and hardly any tourists. My boyfriend and I rented bikes and unexpectedly cycled pass Han river (if i'm not wrong).   Overall the park is a 10/10 to me. Spring weather was great, pet-friendly park, picnics", April 2019
2,4.0,Peaceful parkland in heart of Seoul,"Site of the previous Yeouido Airport until the 1960's, then converted to parkland in the 1990's (includes a static C-47 as a reminder).  Best for walking, jogging, cycling, basketball or just sitting enjoying the surrounds.  Lots of amenities available.  Underpass links to Hangang Park at North East end.", July 2019
3,3.0,It's okay,"The Yeouido park is okay, nothing very special. I think most reviewers are confusing it with Yeouido Hangang park.", May 2019
4,4.0,Spring,, April 2019
5,4.0,awesome cherry blossom viewing,"We came around 7.30 am and it's not crowded. We had a great time admiring cherry blossom, it's so good to take photos of it at early morning.", April 2019
6,5.0,Beautiful park with Sakura,"Visit the park on Apr 3, Sakura almost get flower, nearby the main river of Seoul. Easy to have beautiful pictures", April 2019
7,5.0,Second Visit Like First Time,"My second time actually visiting Yeouido but it feels like the first time because last time was autumn. I went there alone so I didnt rent a tent, ordered a chicken so I guess I missed something big but at least I got to observe how they celebrate Spring Festival. And the cherry blossoms are just as lovely as the people.", April 2019
8,4.0,Nice place for a stroll,"Do pop by if you are nearby, otherwise I don't think it's worth it to come here. Went when cherry blossoms were in bloom, but there are many other places to view cherry blossoms as well. Overall a nice place for a stroll but only if you are nearby.", April 2019
9,5.0,Beautiful area to enjoy Spring and relaxing,, April 2019
10,4.0,Busy Park on 1st of April,, April 2019
11,5.0,Cherry Blossom Night View ,, April 2019
12,3.0,Only one fully blooming sakura on early april 2019,I went there on 3apr2019.. the weather still around 9 to 10 degree celcius in yeouido hangang park And the flowers still hadnt fully blooming yet, April 2019
13,5.0,One of must visits of cherry blossom,"Along the Yeouido street, full of cherry blossom. best time to visit about first week of april. better to check schedule first.", April 2019
14,5.0,Better to avoid cherry blossoms on weekends,, March 2019
15,5.0,visit,good place to see river view and can breathe fresh air. can see so many beautiful places from there., October 2018
16,5.0,Sukura Season,"It must be the most beautiful season when we visited the park, walking along the river bank was looked like passing a sukura flower tunnel. It was still a little bit cold for us who were from the warm Southwest China. There were also lots of local specialty street vendors.", April 2018
17,5.0,Great walk in the park in the busy district,It was so nice to have this quietness in the middle of the busy district life. The sunshine made it spectacular!, November 2018
18,4.0,A kind of Central Park in Seoul,"Visit this park, adjacent to the Han river and a new business and shopping district. Close to IFC underground shopping mall.", September 2018
19,5.0,Yeouido park,, October 2018
20,4.0,nice,"nice park to walk, i went there with the cherry blossom festival and i was in love with all the flowers", April 2018
21,4.0,Stroll and camp,"Great place to stroll for the night. There are available seats, and there's also the entire park where you can camp. Great view at night.", September 2018
22,4.0,Nice park to strolling around!,"Went here just to strolling around. The park was so nicely build and taken care of. So clean and the surrrounding was so peaceful eventhough it is in the middle of the buzzling city. You can try to bring your lunch here (get it in the nearest convenient store) then sit down in the park, enjoy!", October 2017
23,5.0,Lot of sakura,, December 2017
24,5.0,Nice,"I was planning to visit Seonyudo Park but was recommended by a Korean Friend to visit this instead. This park didn’t disappoint, the river view was nice on a bright sunny day. I hear the night view is amazing too but wasn’t there in the evening. There were many families having picnics along the stream and so nice to watch all the kids running around. I rented a bike for an hour (3000krw) so there isn’t a need to walk that much. According to a Friend, eating cup noodles is a Korean thing to do at Yeouido park where there are instant cooking stands at the shops. I didn’t try it since it was still pretty hot in summer but I can imagine it’d be nice to have some hot noodles here when the weather is chilly.", August 2018
25,5.0,must see in sakura season,"if you live nearby this park in cherry blossom season then do not skip this place.  it was really beautiful visit during March/April this year (2018).  enjoyed the beautiful trees. it looks more beautiful in nature than it look in pictures. no much things to do. just for walking and relaxing with family.  there is a small market for quick bite.  also, there is a huge open yard for playing around.  also, there is a street nearby full of cherry blossom trees.  i loved it during this season.  other seasons i am not sure how it looks.", March 2018
26,4.0,Wonderful green oasis in the concrete jungle,"I swear by Yeouido Park because it has .. LAWNS!! These are very rare in central Seoul, but at Yeouido Park you can spread out a blanket and have a picnic in several spots. Even more, you can ride a bike along the shady perimeter circular route (or walk/jog if that's your thing). It's squeaky clean, has lots of big old trees for shade, and miraculously keeps out most of the car noise from the outside world. Once you get in to this rectangular little oasis, you really get refreshed.", July 2018
27,4.0,Rent a Bike,, August 2017
28,4.0,Cherry Blossom is the main reason to visity,I have been searching many place to see the cherry blossom. it was such a nice place to see cherry blossom there., April 2018
