,star_point,title,text,Date of experience
0,5.0,Good for cafe-hopping,Recommended by a local to visit which turns out to be one of the most memorable moment of our trip. The area is made up of connecting alleys which makes you feel like you are in a maze but there's something good waiting for you at every turn. Quaint little shops and cafes, January 2020
1,4.0,Modern and cute fashionable street .,"Lot of shops , cafes but none got seats . Only good for photography and window shopping . Ladies accessories shops are nice though .", December 2019
2,5.0,Cute little place with loads of instagram worthy cafes,We took a leisurely walk from our hotel near Euljiro 3-ga to Ikseon-dong Hanok Street. It is relatively easy to locate. You can use NaverMap to guide you there as google map doesn’t work well in South Korea. Loads of instagram worthy spots and cafes. There is a nice little, December 2019
3,3.0,"Interesting, but not a must visit","Tiny alley ways lead you to various stores. That's about all there was to this place. It would be a fun place to go as a small group, but as a solo traveler on this date of visit, I didn't find too many places to eat that could accommodate me as the lines were long, but tables", December 2019
4,4.0,Ikseon-dong Hanok Street,"We were recommended to tour this area by another tourist who was also visiting the Bukchon village.  Surprisingly enough, it was situated relatively close to our hotel.  It is an interesting area filled with trendy shops, eateries and cafes.  Apparently this is one of Seoul's", November 2019
5,5.0,"Amazing place to be for coffee, shopping, food & IG pics!","Amazing place for coffee, beers, food, shopping & get-together with friends. There are so many instagrammable spots in the small area full of alleys to explore. I can spend the whole day there, having coffee/tea, lunch/dinner & beer in between shopping there! Will  be back there", October 2019
6,5.0,Fav!,Opposite Makers hotel where we stayed.  Fablous could have stayed here all day and night. Cute shops. Restaurants. Cafes. Bar. Filled with charm. Gets fairly busy but not uncomfortable.  Loved wandering the cute streets!, October 2019
7,4.0,Ancient Buildings Full of Modern Details,"Visited this area with my wife one night. I was kind of overwhelmed by how much details, both big and small, there are in this place. While the structures are traditional, everything else certainly are not. There seems to be something to see at every corner. Lots of chic places", October 2019
8,5.0,Favorite place we went in Seoul,"Small warren of alleys that house appealing cafes, restaurants, clothes stores and unique shops.  The buildings have been restored beautifully.  Definitely knew we were somewhere different when walking around.", September 2019
9,4.0,Pretty lanes with interesting shops and cafes,It was crowded on a weekend but we enjoyed walking through the narrow lanes and browsing in the interesting shops housed in traditional korean houses. There were some boutiques selling local design items which caught our eye. One can easily lose track of time inside the shops. , August 2019
