,star_point,title,text,Date of experience
0,5.0,What a Great Catholic Cathedral,This was a must see of sights on our list. We attended mass in English and were also able to participate in reconciliation just before mass started. The alter servers were very friendly and everyone spoke English. They also have a store on the grounds and a museum. Definitely, February 2020
1,5.0,Very Nice Church,I attended a friend's wedding at this awesome Church in the heart of MyeongDong a large tourist area with many stores and restaurants nearby, July 2019
2,4.0,Peaceful,"Very nice church on the hill, it is simple and beautiful inside. It was a Sunday so a lot of people were inside praying. Unfortunately becuase of the coronavirus, there was no holy water but that is understandable. If you are into religious sites, definitely worth a visit.", February 2020
3,5.0,Nice Church on a Hill,We went there at sunset on a Friday afternoon. Church was open even though there was no service. A very solemn place to reflect and say some prayers. The surrounding grounds was also a great place to take pictures. Will visit again. Highly recommended especially for Catholics., December 2019
4,4.0,Lighted up for Christmas ,, January 2020
5,5.0,lovely,We went inside and there happened to be a wedding on.  The cathedral is so beautiful and worth a visit., October 2019
6,5.0,Peaceful ,A beautiful church perch up the hill. Conveniently located near the popular Myeongdong shopping area. Very peaceful. Well decorated during the Christmas season. A must go to see place when you are at Myeongdong, December 2019
7,5.0,A Catholic Cathedral in the Heart of Downtown Seoul,, December 2019
8,5.0,Nice view,"Worth the trip to find this place, recommend to visit this place during evening. It's really beautiful", December 2019
9,4.0,Cathedral in the heart of Myeongdong ,"Finally got here on my 5th visit to Seoul, beautiful architecture within the cathedral and there was a couple taking wedding photos in winter!", December 2019
10,4.0,Myeong-dong Cathedral,"We happened to pass by this particular cathedral when we were visiting the Myeong-dong area.  Surprisingly, the structure is rather at odds with the modern contemporary buildings surrounding it.  We discovered that this stately Roman Catholic cathedral was built in the Gothic style in 1892 and was the first structure of this nature in Korea.  This church also holds the remains of the saints and martyrs who were sacrificed for their believes.  The structure is a stately simplistic contemporary Gothic cathedral with stain glass windows around the main altar.  It cannot be compared with older cathedrals in Europe.  It is situated on an elevated area and there are two levels of stairs to climb to reach the church.  In the evening it is most enchanting as it is lite up for evening services.  At the base is a small sanctuary area with the statute of our Lady of Immaculate Conception.  A very unique and dignify structure situated in modern Korea.", November 2019
11,4.0,A place of quite amongst the hustle and bustle,"We visited here in the evening so there weren't any services.  The Cathedral was the first Roman Catholic Cathedral in Korea, was built of red brick and consecrated in 1898. At its construction, it was the largest building in Seoul. Very peaceful inside away from the busy streets, especially in the evening.", June 2019
12,4.0,Plain but nice to see,"Located in the middle of Myeong Dong bustling area, this Roman Catholic cathedral it’s a peaceful place but nothing extraordinary.", November 2019
13,5.0,Spiritual cleansing and history,After the hustle and bustle of Mydeong shopping street is the red bricked solemn cathedral. The structure is very well preserved in midst of office buildings.  A place of spiritual cleansing and Korean contemporary history with foreign countries. Very worth visiting., July 2019
14,4.0,Nice cathedral,, December 2018
15,5.0,Attended my first overseas mass and the experience was overwhelming,, October 2019
16,5.0,A must visit for Catholics,, October 2019
17,4.0,A fine cathedral in a busy shopping area,While you visit this busy shopping area take a few minutes to check out this fine traditional church. Many Seoul churches inside are more like theatres but this is the real thing., October 2019
18,5.0,As beautiful as ever,The Cathedral  sits on top of a Long flight of steps. Whenever i’m In Seoul i’ll Attend service there., October 2019
19,3.0,Only one,"Because the mayority of korean people deos the hinduisum of muslims and very But very little the catholic, near the su way sistem", October 2019
20,5.0,Nice Cathedral,, September 2019
21,5.0,Tranquility,"So nice to walk in on a Sunday evening.. An interesting and attractive building, over 100 years old, very close to the hubub of the street markets and shopping area. An oasis of tranquility that is well worth a visit", October 2019
22,5.0,serene,"love this cathedral. the facade is lovely and is clean.  One thing is not easy to find the cathedral...you have to go through a parking lot and through a mall, then take a lift up to the cathedral.", July 2019
23,5.0,very well maintained and visitors friendly,it was an amazing old worship building. the other need church complex is very modern and well maintained. could get inside almost anytime. good place for taking picture for its european ambience. breathtaking places. likes to be there.and easy to find for its bell tower..., September 2019
24,3.0,Visit if your are religious,"This cathedral is huge in the middle of Myeong-dong. It is very quiet and peaceful. There is not much to see but if you are religious and want to say a prayer, please visit this place.", September 2019
25,5.0,A solemn place in the city,"This is the very first place we visited when we arrived in Seoul first thing in the morning. Just a walking distance from our  hotel, first we got lost but we were able to find it going thru the Myeong-dong shopping streets, there you will see the monumental cathedral in the center of the city.  It was a very solemn place of worship, stayed for a while and pray.  Nice architectural design.  It is worth visiting this place.", December 2018
26,4.0,Wonderful Place for Worship,Myeongdong Cathedral is located in the heart of Myeongdong. It is very near the shopping street also., April 2019
27,3.0,"Not worth going out of your way, but a good thing to see","Nice little cathedral in Seoul - beautiful to look at, but otherwise not much to do. Free, but not worth much of a detour unless you're really into this sort of thing.", September 2019
